*Code,*Name,*Type,*Tax Code,Description,Dashboard,Expense Claims,Enable Payments
200,Sales - Rent,REVENUE,INPUTTAXED,Residential Rental Income ,Yes,No,No
210,Eco-tourism sales,REVENUE,OUTPUT,Income from Eco-tourism activities including cabin rental,Yes,No,No
220,Consulting/Mentoring Income,REVENUE,OUTPUT,Consulting/Mentoring income,Yes,No,No
255,Travel Income,REVENUE,OUTPUT,Income for billing of travel related on-billing for projects.,Yes,Yes,No
260,Other Revenue,REVENUE,OUTPUT,Any other income that does not relate to normal business activities and is not recurring,Yes,No,No
261,Sale of Assets,OTHERINCOME,OUTPUT,Sale of capital items,Yes,No,No
262,Grants Received,REVENUE,OUTPUT,Record income from Grants,Yes,No,No
270,Interest Income,REVENUE,EXEMPTOUTPUT,Interest income,Yes,No,No
310,Cost of Goods Sold,DIRECTCOSTS,INPUT,Cost of goods sold by the business,Yes,No,No
400,Advertising & Marketing,EXPENSE,INPUT,Expenses incurred for advertising while trying to increase sales,Yes,No,No
402,Finance Costs,EXPENSE,BASEXCLUDED,costs of borrowings,Yes,No,No
403,Company Costs,EXPENSE,EXEMPTEXPENSES,ASIC filing fees etc,Yes,No,No
405,Borrowing Costs,EXPENSE,BASEXCLUDED,Costs associated with finance,Yes,No,Yes
406,Bad Debts,EXPENSE,INPUT,Debts unable to be recovered,Yes,No,No
407,Bank Fees,EXPENSE,EXEMPTEXPENSES,Fees charged by your bank for transactions regarding your bank account(s).,Yes,No,No
408,Cleaning,EXPENSE,INPUT,Expenses incurred for cleaning business property.,Yes,No,No
409,Client to Advise,EXPENSE,BASEXCLUDED, No Tax invoice provided / Insufficient info to determine business use,Yes,No,No
410,Booking Commissions & Fees,EXPENSE,EXEMPTEXPENSES,Admin charges related to cabins,Yes,No,No
411,Merchant Fees,EXPENSE,INPUT,,Yes,No,No
412,Consulting & Accounting,EXPENSE,INPUT,Expenses related to paying consultants,Yes,Yes,No
413,Bookkeeping,EXPENSE,INPUT,,Yes,No,No
415,"Conferences, training & seminars",EXPENSE,INPUT,,Yes,Yes,No
416,Depreciation,EXPENSE,BASEXCLUDED,The amount of the asset's cost (based on the useful life) that was consumed during the period,Yes,No,No
417,Donations,EXPENSE,BASEXCLUDED,,Yes,No,No
420,Entertainment,EXPENSE,EXEMPTEXPENSES,Expenses paid by company for the business but are not deductable for income tax purposes.,Yes,Yes,No
421,Light meals &  refreshments,EXPENSE,INPUT,Business related meetings etc.,Yes,Yes,No
423,Catering,EXPENSE,INPUT,food & beverages for events hosted on site.,Yes,Yes,No
424,Fines & Penalties,EXPENSE,BASEXCLUDED,,Yes,No,No
425,Freight & Courier,EXPENSE,INPUT,Expenses incurred on courier & freight costs,Yes,No,No
429,General Expenses,EXPENSE,INPUT,General expenses related to the running of the business.,Yes,Yes,No
430,Gifts,EXPENSE,INPUT,,Yes,Yes,No
432,Hire Expenses,EXPENSE,INPUT,Equipment & venue hire,Yes,Yes,No
433,Insurance,EXPENSE,INPUT,Expenses incurred for insuring the business' assets,Yes,Yes,No
435,Licences & Fees,EXPENSE,INPUT,operating Licences or Fees incurred.,Yes,Yes,No
