ICN,Corporation Name,Status Reason,Registered On,Deregistered On,Corporation Size,ABN,State/Territory (Main place of business) (Address),Postcode (Main place of business) (Address),Industry Sector(s),Corporation registered with ACNC?,2023 Total Income,2023 Total Assets,2023 Number of Employees,2024 Total Income,2024 Total Assets,2024 Number of Employees,2025 Total Income,2025 Total Assets,2025 Number of Employees,URL
2,Urapuntja Health Service Aboriginal Corporation,Registered,1/02/1979,,Large,45449518275,NT,0871,"Health care and health promotion > Medical clinic or services, Health care and health promotion, Health care and health promotion > Community and social wellbeing",Yes, >=$5m, >=$2.5m, >24, >=$5m, >=$2.5m, >24, >=$5m, >=$2.5m, >24,https://mycorp.oric.gov.au/public-register/public-register-details/?id=da6025c6-b605-f011-bae2-6045bde55d79
3,Warran Aboriginal Corporation,Deregistered,6/04/1999,17/06/2005,,,,,,No,,,,,,,,,,https://mycorp.oric.gov.au/public-register/public-register-details/?id=9729c6c9-b605-f011-bae2-000d3acbc922
4,Cabarita Aboriginal Corporation,Deregistered,19/12/1978,4/01/2000,,,,,,No,,,,,,,,,,https://mycorp.oric.gov.au/public-register/public-register-details/?id=abbceac8-b605-f011-bae2-6045bde71c32
5,North Midlands Aboriginal Corporation,Deregistered,9/03/1979,24/10/2009,Medium,52674096450,,,,No,,,,,,,,,,https://mycorp.oric.gov.au/public-register/public-register-details/?id=e7faffcb-b605-f011-bae2-6045bdc23614
7,Gwydir Property Aboriginal Corporation,Deregistered,26/04/1979,8/08/2001,,,,,,No,,,,,,,,,,https://mycorp.oric.gov.au/public-register/public-register-details/?id=ce2597cb-b605-f011-bae1-000d3acae33b
8,Ilpeye-Ilpeye Aboriginal Corporation,Registered,12/07/1979,,Small,85957577919,NT,0870,"Land and waters management—care for Country, Housing and tenancy",Yes,0,0,0,,,,,,,https://mycorp.oric.gov.au/public-register/public-register-details/?id=514ef1ce-b605-f011-bae2-6045bde71c32
9,Worimi Aboriginal Corporation,Deregistered,11/07/1979,29/11/1983,,,,,,No,,,,,,,,,,https://mycorp.oric.gov.au/public-register/public-register-details/?id=272124cf-b605-f011-bae2-6045bdc36a7d
10,Tingha Aboriginal Corporation,Deregistered,23/05/1979,10/08/2005,,,,,,No,,,,,,,,,,https://mycorp.oric.gov.au/public-register/public-register-details/?id=484588c0-b605-f011-bae2-7c1e5289d9e2
11,Yardoogarra Aboriginal Corporation,Deregistered,27/07/1979,15/05/2007,,,,,,No,,,,,,,,,,https://mycorp.oric.gov.au/public-register/public-register-details/?id=6a992bc5-b605-f011-bae2-000d3acae1bb
12,Broome Regional Aboriginal Medical Service (Aboriginal Corporation),Registered,27/07/1979,,Large,23750533168,WA,6725,"Community services > Family violence prevention and support, Community services > Safety and wellbeing, Health care and health promotion > Community and social wellbeing, Community services > Programs for elders, Community services, Health care and health promotion > Medical clinic or services, Health care and health promotion > Aged or residential care, Health care and health promotion",Yes, >=$5m, >=$2.5m, >24, >=$5m, >=$2.5m, >24, >=$5m, >=$2.5m, >24,https://mycorp.oric.gov.au/public-register/public-register-details/?id=c039e1c5-b605-f011-bae1-6045bdc494a9
13,Narromine Aboriginal Corporation,Deregistered,6/09/1979,2/08/1995,,,,,,No,,,,,,,,,,https://mycorp.oric.gov.au/public-register/public-register-details/?id=83bc04c4-b605-f011-bae2-0022489439b1
14,Kooloonbung Aboriginal Corporation,Deregistered,22/08/1979,17/04/1984,,,,,,No,,,,,,,,,,https://mycorp.oric.gov.au/public-register/public-register-details/?id=4790bcc5-b605-f011-bae2-7c1e522a8ae7
15,Kamarah Aboriginal Corporation,Deregistered,14/08/1979,6/04/2011,Small,89566712664,NSW,2324,Housing and tenancy,No,,,,,,,,,,https://mycorp.oric.gov.au/public-register/public-register-details/?id=75bceac8-b605-f011-bae2-6045bde71c32
16,Mitakoodi Aboriginal Corporation,Registered,1/07/1980,,Medium,78837084577,QLD,4824,"Health care and health promotion > Community and social wellbeing, Housing and tenancy > Rental property management, Community services, Community services > Programs for elders, Housing and tenancy, Health care and health promotion, Community services > Sports and recreation",Yes, $100k-<$5m, >=$2.5m,0, $100k-<$5m, >=$2.5m,5 - 24,,,,https://mycorp.oric.gov.au/public-register/public-register-details/?id=35746ecd-b605-f011-bae2-7c1e5289d9e2
17,Buai Torres Strait Islanders Corporation,Deregistered,11/12/1979,23/10/1998,,,,,,No,,,,,,,,,,https://mycorp.oric.gov.au/public-register/public-register-details/?id=1242a2cb-b605-f011-bae2-000d3acae1bb
18,Lundja Aboriginal Corporation,Registered,27/07/1979,,Small,14186232831,WA,6770,Land and waters management—care for Country,No,,,,,,,,,,https://mycorp.oric.gov.au/public-register/public-register-details/?id=b57fd9cb-b605-f011-bae1-6045bdc494a9
19,Wyndham Amenities Club (Aboriginal Corporation),Deregistered,27/07/1979,26/09/1995,,,,,,No,,,,,,,,,,https://mycorp.oric.gov.au/public-register/public-register-details/?id=cc13baca-b605-f011-bae2-000d3ad09cb4
20,Kurnangki Aboriginal Corporation,Registered,27/07/1979,,Small,33309395063,WA,6765,"Land and waters management—care for Country, Health care and health promotion, Community services",Yes,,,,,,,,,,https://mycorp.oric.gov.au/public-register/public-register-details/?id=6ecfd0cb-b605-f011-bae2-000d3a6a6f48
21,Kimberley Land Council Aboriginal Corporation,Registered,27/07/1979,,Large,96724252047,WA,6725,"environmental rehabilitation or enhancement, Land and waters management - care for Country > Manage native title rights and interests (incl. RNTBCs), Education and training, Land and waters management—care for Country, Land and waters management - care for Country > Conservation, Land and waters management - care for Country > Holding land title/deeds, Land and waters management - care for Country > Research, monitoring, evaluation, Education and training > Cultural teaching and learning, Land and waters management - care for Country > Indigenous land use agreement (negotiation and monitoring)",Yes, >=$5m, >=$2.5m, >24, >=$5m, >=$2.5m, >24, >=$5m, >=$2.5m, >24,https://mycorp.oric.gov.au/public-register/public-register-details/?id=ad7fd9cb-b605-f011-bae1-6045bdc494a9
22,Noradidgee Aboriginal Corporation,Deregistered,12/10/1979,8/12/2020,Small,,NT,0861,"Health care and health promotion, Education and training, Community services",No,,,,,,,,,,https://mycorp.oric.gov.au/public-register/public-register-details/?id=7c7c03cc-b605-f011-bae2-000d3acc425c
23,Imangara Aboriginal Corporation,Registered,12/10/1979,,Small,,NT,0870,"Land and waters management - care for Country > Holding land title/deeds, Land and waters management—care for Country",No,,,,,,,<$100k,<$100k,0,https://mycorp.oric.gov.au/public-register/public-register-details/?id=2944e1cb-b605-f011-bae2-6045bde553dd
24,Jarnba-Gadarlandji Aboriginal Corporation,Deregistered,12/10/1979,12/05/1999,,,,,,No,,,,,,,,,,https://mycorp.oric.gov.au/public-register/public-register-details/?id=4fdabecd-b605-f011-bae2-6045bde4c058
