Date	Type	Payee	Particulars	Code	Reference	Analysis Code	Spent	Received	Source	Status
31 Mar 2026	Debit		SQ *GOLOSA Surry Hills		XXXXXXXXXXXXXXX1656	Credit Card Purchase	22.00		Bank Feed	Unreconciled
31 Mar 2026	Debit		SEASONS SUPERMARKET 10 MALENY		XXXXXXXXXXXXXXX1656	Credit Card Purchase	44.28		Bank Feed	Unreconciled
31 Mar 2026	Debit		UBER *TRIP HELP.UBER.COM Sydney		XXXXXXXXXXXXXXX1656	Credit Card Purchase	37.40		Bank Feed	Auto-reconciled
31 Mar 2026	Debit		Hinterland Aviation Cairns		XXXXXXXXXXXXXXX1656	Credit Card Purchase	426.36		Bank Feed	Unreconciled
31 Mar 2026	Debit		UBER *TRIP HELP.UBER.COM Sydney		XXXXXXXXXXXXXXX1656	Credit Card Purchase	54.46		Bank Feed	Auto-reconciled
31 Mar 2026	Debit		SQ *GOLOSA Surry Hills		XXXXXXXXXXXXXXX1656	Credit Card Purchase	4.50		Bank Feed	Unreconciled
31 Mar 2026	Credit		INTERNET PAYMENT Linked Acc Trns		XXXXXXXXXXXXXXX1656	Credit Card Payment		15000.00	Bank Feed	Auto-reconciled
30 Mar 2026	Debit		UBER *TRIP HELP.UBER.COM Amsterdam		XXXXXXXXXXXXXXX1656	Credit Card Purchase	7.57		Bank Feed	Auto-reconciled
30 Mar 2026	Debit		NAB INTNL TRAN FEE - (MC)			Fee - Charged	1.74		Bank Feed	Auto-reconciled
30 Mar 2026	Debit		NAB INTNL TRAN FEE - (MC)			Fee - Charged	1.94		Bank Feed	Auto-reconciled
30 Mar 2026	Debit		NAB INTNL TRAN FEE - (MC)			Fee - Charged	0.52		Bank Feed	Auto-reconciled
30 Mar 2026	Debit		GREEN MOTION SLOVENIJA BRNIK - AEROD		XXXXXXXXXXXXXXX1656	Credit Card Purchase	687.02		Bank Feed	Unreconciled
30 Mar 2026	Debit		UBER *TRIP HELP.UBER.COM Amsterdam		XXXXXXXXXXXXXXX1656	Credit Card Purchase	14.79		Bank Feed	Auto-reconciled
30 Mar 2026	Debit		UBER *TRIP HELP.UBER.COM Amsterdam		XXXXXXXXXXXXXXX1656	Credit Card Purchase	16.05		Bank Feed	Auto-reconciled
30 Mar 2026	Debit		HERTZ, RA, 643314792 SOUTH MELBOUR		XXXXXXXXXXXXXXX1656	Credit Card Purchase	598.57		Bank Feed	Unreconciled
30 Mar 2026	Debit		NAB INTNL TRAN FEE - (MC)			Fee - Charged	4.54		Bank Feed	Auto-reconciled
30 Mar 2026	Debit		NAB INTNL TRAN FEE - (MC)			Fee - Charged	0.43		Bank Feed	Auto-reconciled
30 Mar 2026	Debit		NAB INTNL TRAN FEE - (MC)			Fee - Charged	0.55		Bank Feed	Auto-reconciled
30 Mar 2026	Debit		NAB INTNL TRAN FEE - (MC)			Fee - Charged	0.56		Bank Feed	Auto-reconciled
30 Mar 2026	Debit		AMPOL CANBERRA 20006F CANBERRA AIRP		XXXXXXXXXXXXXXX1656	Credit Card Purchase	76.23		Bank Feed	Unreconciled
30 Mar 2026	Debit		UBER *TRIP HELP.UBER.COM Amsterdam		XXXXXXXXXXXXXXX1656	Credit Card Purchase	12.39		Bank Feed	Auto-reconciled
30 Mar 2026	Debit		UBER *TRIP HELP.UBER.COM Amsterdam		XXXXXXXXXXXXXXX1656	Credit Card Purchase	15.79		Bank Feed	Auto-reconciled
30 Mar 2026	Debit		UBER *EATS HELP.UBER.COM Sydney		XXXXXXXXXXXXXXX1656	Credit Card Purchase	29.91		Bank Feed	Auto-reconciled
30 Mar 2026	Debit		MOL 18200 sz. toltoall Vecses		XXXXXXXXXXXXXXX1656	Credit Card Purchase	133.68		Bank Feed	Unreconciled
30 Mar 2026	Debit		NAB INTNL TRAN FEE - (MC)			Fee - Charged	4.68		Bank Feed	Auto-reconciled
30 Mar 2026	Debit		NAB INTNL TRAN FEE - (MC)			Fee - Charged	0.03		Bank Feed	Auto-reconciled
30 Mar 2026	Debit		NAB INTNL TRAN FEE - (MC)			Fee - Charged	0.58		Bank Feed	Auto-reconciled
30 Mar 2026	Debit		NAB INTNL TRAN FEE - (MC)			Fee - Charged	0.61		Bank Feed	Auto-reconciled
30 Mar 2026	Debit		NAB INTNL TRAN FEE - (MC)			Fee - Charged	0.64		Bank Feed	Auto-reconciled
30 Mar 2026	Debit		COASTAL FASTENERS PTY LTDMAROOCHYDORE		XXXXXXXXXXXXXXX1656	Credit Card Purchase	35.20		Bank Feed	Unreconciled
30 Mar 2026	Debit		UBER *TRIP HELP.UBER.COM Amsterdam		XXXXXXXXXXXXXXX1656	Credit Card Purchase	16.53		Bank Feed	Auto-reconciled
30 Mar 2026	Debit		UBER *TRIP HELP.UBER.COM Amsterdam		XXXXXXXXXXXXXXX1656	Credit Card Purchase	18.31		Bank Feed	Auto-reconciled
30 Mar 2026	Debit		UBER *TRIP HELP.UBER.COM Amsterdam		XXXXXXXXXXXXXXX1656	Credit Card Purchase	49.65		Bank Feed	Auto-reconciled
30 Mar 2026	Debit		UBER *TRIP HELP.UBER.COM Sydney		XXXXXXXXXXXXXXX1656	Credit Card Purchase	41.55		Bank Feed	Auto-reconciled
30 Mar 2026	Debit		SEASONS SUPERMARKET 10 MALENY		XXXXXXXXXXXXXXX1656	Credit Card Purchase	8.95		Bank Feed	Unreconciled
30 Mar 2026	Debit		SEASONS SUPERMARKET 10 MALENY		XXXXXXXXXXXXXXX1656	Credit Card Purchase	51.01		Bank Feed	Unreconciled
30 Mar 2026	Debit		7 ELEVEN 4223 LITTLE MOUNTA		XXXXXXXXXXXXXXX1656	Credit Card Purchase	103.64		Bank Feed	Unreconciled
30 Mar 2026	Debit		UBER *TRIP HELP.UBER.COM Amsterdam		XXXXXXXXXXXXXXX1656	Credit Card Purchase	17.57		Bank Feed	Auto-reconciled
30 Mar 2026	Debit		SQ *POCKY ASIAN RESTAURANMaleny		XXXXXXXXXXXXXXX1656	Credit Card Purchase	81.10		Bank Feed	Unreconciled
30 Mar 2026	Debit		NEWS PTY LIMITED SURRY HILLS		XXXXXXXXXXXXXXX1656	Credit Card Purchase	24.00		Bank Feed	Unreconciled
30 Mar 2026	Debit		BUNNINGS 490000 MAROOCHYDORE		XXXXXXXXXXXXXXX1656	Credit Card Purchase	111.20		Bank Feed	Unreconciled
30 Mar 2026	Debit		DIALPAD INC 4158429989 CA		XXXXXXXXXXXXXXX1656	Credit Card Purchase	56.00		Bank Feed	Auto-reconciled
30 Mar 2026	Debit		UBER *TRIP HELP.UBER.COM		XXXXXXXXXXXXXXX1656	Credit Card Purchase	55.38		Bank Feed	Auto-reconciled
30 Mar 2026	Debit		Pest Worx Maleny Maleny		XXXXXXXXXXXXXXX1656	Credit Card Purchase	165.00		Bank Feed	Unreconciled
30 Mar 2026	Debit		KIOSK BUDAPEST BUDAPEST		XXXXXXXXXXXXXXX1656	Credit Card Purchase	129.78		Bank Feed	Unreconciled
30 Mar 2026	Debit		BOLT IN CO MAROOCHYDORE		XXXXXXXXXXXXXXX1656	Credit Card Purchase	70.40		Bank Feed	Unreconciled
30 Mar 2026	Debit		NYX*MOLNyrt Budapest		XXXXXXXXXXXXXXX1656	Credit Card Purchase	0.87		Bank Feed	Unreconciled
30 Mar 2026	Debit		Garmin Eastern Creek		XXXXXXXXXXXXXXX1656	Credit Card Purchase	25.00		Bank Feed	Unreconciled
30 Mar 2026	Debit		NAB INTNL TRAN FEE - (MC)			Fee - Charged	24.05		Bank Feed	Auto-reconciled
30 Mar 2026	Debit		NAB INTNL TRAN FEE - (MC)			Fee - Charged	0.26		Bank Feed	Auto-reconciled
30 Mar 2026	Debit		NAB INTNL TRAN FEE - (MC)			Fee - Charged	0.47		Bank Feed	Auto-reconciled
30 Mar 2026	Debit		NAB INTNL TRAN FEE - (SC)			Fee - Charged	1.96		Bank Feed	Auto-reconciled
30 Mar 2026	Debit		UBER *TRIP HELP.UBER.COM Amsterdam		XXXXXXXXXXXXXXX1656	Credit Card Purchase	13.44		Bank Feed	Auto-reconciled
27 Mar 2026	Debit		UBER *TRIP HELP.UBER.COM Sydney		XXXXXXXXXXXXXXX1656	Credit Card Purchase	51.05		Bank Feed	Auto-reconciled
27 Mar 2026	Debit		WEBFLOW.COM WEBFLOW.COM CA		XXXXXXXXXXXXXXX1656	Credit Card Purchase	38.41		Bank Feed	Auto-reconciled
27 Mar 2026	Debit		NAB INTNL TRAN FEE - (MC)			Fee - Charged	0.62		Bank Feed	Auto-reconciled
27 Mar 2026	Debit		MALENY HARDWARE AND RURALMALENY		XXXXXXXXXXXXXXX1656	Credit Card Purchase	113.40		Bank Feed	Unreconciled
27 Mar 2026	Debit		DEPT OF PARLIAMENTARY CAPITAL HILL		XXXXXXXXXXXXXXX1656	Credit Card Purchase	7.00		Bank Feed	Unreconciled
27 Mar 2026	Debit		NAB INTNL TRAN FEE - (MC)			Fee - Charged	1.34		Bank Feed	Auto-reconciled
27 Mar 2026	Debit		UBER *TRIP HELP.UBER.COM		XXXXXXXXXXXXXXX1656	Credit Card Purchase	17.84		Bank Feed	Auto-reconciled
27 Mar 2026	Credit		Kadmium Art Supplies 02 9212 2669		XXXXXXXXXXXXXXX1656	Credit Card Refund		771.00	Bank Feed	Unreconciled
27 Mar 2026	Debit		ZLR*Pattysmiths Manuka Griffith		XXXXXXXXXXXXXXX1656	Credit Card Purchase	31.24		Bank Feed	Unreconciled
27 Mar 2026	Debit		NAB INTNL TRAN FEE - (MC)			Fee - Charged	0.32		Bank Feed	Auto-reconciled
27 Mar 2026	Debit		UBER *TRIP HELP.UBER.COM		XXXXXXXXXXXXXXX1656	Credit Card Purchase	9.17		Bank Feed	Auto-reconciled
26 Mar 2026	Debit		NAB INTNL TRAN FEE - (MC)			Fee - Charged	17.50		Bank Feed	Auto-reconciled
26 Mar 2026	Debit		UBER *TRIP HELP.UBER.COM		XXXXXXXXXXXXXXX1656	Credit Card Purchase	9.00		Bank Feed	Auto-reconciled
26 Mar 2026	Debit		STRELEC LJUBLJANA		XXXXXXXXXXXXXXX1656	Credit Card Purchase	500.10		Bank Feed	Unreconciled
26 Mar 2026	Credit		NAB INTNL TRN FEE REV -MC			Miscellaneous Credit		5.06	Bank Feed	Auto-reconciled
26 Mar 2026	Debit		SQ *ON LAKE CAFE McDougalls Hi		XXXXXXXXXXXXXXX1656	Credit Card Purchase	27.50		Bank Feed	Unreconciled
26 Mar 2026	Debit		NAB INTNL TRAN FEE - (MC)			Fee - Charged	0.32		Bank Feed	Auto-reconciled
26 Mar 2026	Debit		Audible Limited AU MELBOURNE		XXXXXXXXXXXXXXX1656	Credit Card Purchase	16.45		Bank Feed	Auto-reconciled
26 Mar 2026	Credit		SP HOLAFLY.COM DUBLIN		XXXXXXXXXXXXXXX1656	Credit Card Refund		144.61	Bank Feed	Unreconciled
25 Mar 2026	Debit		RESTAVRACIJA JASNA KRANJSKA GORA		XXXXXXXXXXXXXXX1656	Credit Card Purchase	22.28		Bank Feed	Unreconciled
25 Mar 2026	Debit		TRIPLE BULL CRONULLA		XXXXXXXXXXXXXXX1656	Credit Card Purchase	153.00		Bank Feed	Unreconciled
25 Mar 2026	Debit		SIXT9609053176 LJUBLJANA		XXXXXXXXXXXXXXX1656	Credit Card Purchase	131.25		Bank Feed	Unreconciled
25 Mar 2026	Debit		NAB INTNL TRAN FEE - (MC)			Fee - Charged	0.78		Bank Feed	Auto-reconciled
25 Mar 2026	Debit		NAB INTNL TRAN FEE - (MC)			Fee - Charged	4.59		Bank Feed	Auto-reconciled
25 Mar 2026	Debit		NAB INTNL TRAN FEE - (SC)			Fee - Charged	4.25		Bank Feed	Auto-reconciled
25 Mar 2026	Debit		Restavracija Al Fresco Bled		XXXXXXXXXXXXXXX1656	Credit Card Purchase	99.08		Bank Feed	Unreconciled
