xero_id,vendor,date,status,booked_aud,target_aud,confidence,note
c11e1ba4-9366-4959-bd95-649e77c225b3,"MOL Nyrt.",2026-03-27,AUTHORISED,30691,151.31,mol,"Hungarian fuel receipt — HUF 30,691 = €90.53 = AUD 151.31; recode →493"
e0662ad5-6443-43eb-b676-942333fcb2e2,"Dialpad",2025-10-28,AUTHORISED,56,,review,"no NAB charge in window within FX band (expected ~$86.80)"
3271317d-86a0-45be-b688-ee238c4f17dd,"Vercel",2026-04-18,AUTHORISED,53,,review,"no NAB charge in window within FX band (expected ~$82.15)"
32b45c26-a7b9-45b9-9b56-b487f3d08288,"Stripe",2026-04-10,AUTHORISED,30,,review,"no NAB charge in window within FX band (expected ~$46.50)"
7f698f85-34fb-4380-ade1-23cb11deaa85,"Webflow",2025-11-23,AUTHORISED,29,,review,"8 NAB candidates in band — ambiguous"
28f99b07-5ec5-4518-bd8f-d35a84646f93,"Webflow",2025-10-11,AUTHORISED,29,,review,"9 NAB candidates in band — ambiguous"
fb2ba7f2-0b41-4452-98a4-9ed56e97f417,"Webflow",2025-11-08,AUTHORISED,29,,review,"5 NAB candidates in band — ambiguous"
c9308447-002e-4459-a63a-c42e1fa321c4,"Webflow",2025-10-23,AUTHORISED,29,,review,"4 NAB candidates in band — ambiguous"
3234153a-6c1a-47cf-ba8f-dd19901978a4,"OpenAI",2026-02-05,AUTHORISED,27.27,,review,"no NAB charge in window within FX band (expected ~$42.27)"
8f3b61df-b98b-4391-96f8-c3baf636fbd9,"SQUARESPACE",2026-03-10,AUTHORISED,27,,review,"no NAB charge in window within FX band (expected ~$41.85)"
008b9a40-7d68-4a47-adfe-789668e32afe,"SQUARESPACE",2026-03-10,AUTHORISED,27,,review,"no NAB charge in window within FX band (expected ~$41.85)"
966eafea-d82d-42a6-aae2-57417e68a5ff,"OpenAI",2026-02-28,AUTHORISED,22,,review,"2 NAB candidates in band — ambiguous"
e7812509-fdd4-44d3-a01e-76641c31eb32,"GitHub Copilot",2026-03-10,AUTHORISED,10,,review,"no NAB charge in window within FX band (expected ~$15.50)"
55ea30c5-ffd3-49fc-8ea3-bf871326346a,"Firecrawl",2026-03-12,AUTHORISED,9.5,,review,"3 NAB candidates in band — ambiguous"
4b132bd6-887b-4ef1-bdc5-e1ad3ccf98f1,"Stripe",2026-04-12,AUTHORISED,9.5,,review,"no NAB charge in window within FX band (expected ~$14.72)"
39476d7c-89fb-4cc7-af2f-c911da2af04a,"Firecrawl",2026-03-12,AUTHORISED,9.5,,review,"3 NAB candidates in band — ambiguous"
