date,vendor,invoice,status,amount,current_project,suggested_acct_code,suggested_acct_name,suggested_project,rd_eligible,confidence,basis,flags,SL_confirm_acct,SL_confirm_project
2025-11-27,The Funding Network,,AUTHORISED,89361.00,ACT-CE,429,General Expenses,ACT-CE,,REVIEW,vague:Operations,"JUDGEMENT: fundraising platform — income/donation/grant, not general expense? | LARGE + uncertain",,
2025-12-17,The Funding Network,,AUTHORISED,55197.00,ACT-CE,429,General Expenses,ACT-CE,,REVIEW,vague:Operations,"JUDGEMENT: fundraising platform — income/donation/grant, not general expense? | LARGE + uncertain",,
2026-03-27,MOL Nyrt.,,AUTHORISED,30691.00,ACT-IN,429,General Expenses,ACT-IN,,REVIEW,vague:Other,LARGE + uncertain,,
2025-12-17,The Plasticians,,AUTHORISED,29800.00,ACT-IN,446,Materials & Supplies,ACT-IN,,Medium,heuristic:goods materials,LARGE + uncertain,,
2025-11-10,Hatch Electrical,,AUTHORISED,19947.13,ACT-FM,473,Repairs and Maintenance,ACT-FM,,Medium,heuristic:repairs & maintenance,,,
2026-03-27,Defy,,AUTHORISED,18922.75,ACT-GD,446,Materials & Supplies,ACT-GD,,Medium,heuristic:goods materials,,,
2025-12-15,1300 Washer,,AUTHORISED,13980.00,ACT-GD,446,Materials & Supplies,ACT-FM,,Medium,heuristic:goods materials,,,
2025-11-16,Carla Furnishers,,AUTHORISED,11180.00,ACT-GD,446,Materials & Supplies,ACT-GD,,High,rule:Materials & Equipment,no receipt,,
2025-11-16,Carla Furnishers,,AUTHORISED,11180.00,ACT-GD,446,Materials & Supplies,ACT-GD,,High,rule:Materials & Equipment,,,
2026-03-30,Social Impact Hub,,AUTHORISED,10000.00,ACT-CP,429,General Expenses,ACT-CP,,REVIEW,vague:event-funder,,,
2025-11-04,Mounty Container Supplier,,AUTHORISED,10000.00,ACT-CORE,446,Materials & Supplies,ACT-CORE,,Medium,heuristic:goods materials,no receipt,,
2026-03-31,Defy,,PAID,8686.98,ACT-GD,446,Materials & Supplies,ACT-GD,,Medium,heuristic:goods materials,,,
2026-03-27,Defy,,AUTHORISED,8525.00,ACT-GD,446,Materials & Supplies,ACT-GD,,Medium,heuristic:goods materials,,,
2025-12-07,Kennards Hire,,AUTHORISED,6616.00,(none),446,Materials & Supplies,ACT-HV,,High,rule:Materials & Supplies,,,
2025-12-14,The Matnic Trust,,AUTHORISED,6441.74,ACT-IN,429,General Expenses,ACT-IN,,REVIEW,vague:Other,,,
