name,abn,tier,supply_nation,entity_type,sector,state,remoteness,seifa_decile,latest_revenue,donates_to_party,party_donations
"MURRIN MURRIN OPERATIONS PTY LTD (43 076 717 505)","43076717505","self_identified","false","company","Mining","WA","Major Cities of Australia","8","2000000000","false",""
"GLENMURRIN PTY LIMITED (50 076 684 396)","50076684396","self_identified","false","company","Mining","WA","Major Cities of Australia","8","2000000000","false",""
"KIANGA GROUP PTY LTD","86627297885","","false","company","construction","QLD","","","2000000000","false",""
"INDIGENOUS ESSENTIAL SERVICES PTY LTD (50 105 269 636)","50105269636","self_identified","false","company","Mining","NT","Outer Regional Australia","9","850000000","false",""
"Four Mile Aboriginal Corporation","62000407803","oric","false","indigenous_corp","mining","WA","Inner Regional Australia","4","550000000","true","4374124"
"DREAMPATH RECRUITMENT PTY LTD","88635076238","acnc_indigenous","true","social_enterprise","mining","ACT","","","475000000","false",""
"Baldja SA Pty Ltd","53689884866","acnc_indigenous","true","social_enterprise","construction","SA","","","375000000","false",""
"INDIGENOUS BUSINESS AUSTRALIA","25192932833","self_identified","false","foundation","indigenous","ACT","Major Cities of Australia","10","325000000","false",""
"INDIGENOUS LAND AND SEA CORPORATION","59912679254","self_identified","false","charity","agriculture","","Major Cities of Australia","4","325000000","false",""
"MURRINGO FARMS PTY LTD (69 609 891 287)","69609891287","self_identified","false","company","Agriculture","WA","Very Remote Australia","3","325000000","true","120120"
"INDIGENOUS BUSINESS AUSTRALIA (25 192 932 833)","74087366336","self_identified","false","company","Finance","NT","Remote Australia","5","325000000","false",""
"National Centre Of Indigenous Excellence Limited","98133644578","self_identified","false","charity","agriculture","NSW","Major Cities of Australia","4","325000000","false",""
"INDIGENOUS LAND AND SEA CORPORATION (59 912 679 254)","28108266548","self_identified","false","company","Retail","WA","Very Remote Australia","3","275000000","false",""
"ASSETLINK INDIGENOUS SERVICES PTY LTD","29639605904","self_identified","true","social_enterprise","construction","ACT","","","275000000","false",""
"COX INALL RIDGEWAY PTY LTD","12606836462","acnc_indigenous","true","company","","ACT","Major Cities of Australia","7","225000000","false",""
"GOAL INDIGENOUS SERVICES PTY LTD (19 611 858 925)","19611858925","self_identified","false","company","","SA","Outer Regional Australia","9","175000000","false",""
"Institute For Urban Indigenous Health Ltd","32140019290","self_identified","false","charity","Health","QLD","Major Cities of Australia","9","175000000","false",""
"GOAL INDIGENOUS SERVICES NT PTY LTD (34 630 598 337)","34630598337","self_identified","false","company","","ACT","Outer Regional Australia","9","175000000","false",""
"GOAL INDIGENOUS SERVICES AUSTRALIA PTY LTD (47 632 049 462)","47632049462","self_identified","false","company","","ACT","Outer Regional Australia","9","175000000","false",""
"GOAL INDIGENOUS SERVICES VIC PTY LTD (61 629 097 598)","61629097598","self_identified","false","company","","VIC","Major Cities of Australia","8","175000000","true","200000"
"GOAL INDIGENOUS SERVICES WA PTY LTD (64 630 598 088)","64630598088","self_identified","false","company","","NT","Outer Regional Australia","9","175000000","false",""
"GOAL INDIGENOUS SERVICES QLD PTY LTD (81 632 049 604)","81632049604","self_identified","false","company","","NT","Outer Regional Australia","9","175000000","false",""
"National Aboriginal Community Controlled Health Organisation Limited","89078949710","self_identified","false","foundation","health","ACT","Major Cities of Australia","10","175000000","false",""
"BILINGARRA INDIGENOUS SERVICES PTY LTD","92667511033","self_identified","true","social_enterprise","construction","NSW","","","175000000","false",""
"VOYAGES INDIGENOUS TOURISM AUSTRALIA PTY LTD","82146482591","self_identified","false","company","Agriculture","NSW","Major Cities of Australia","4","171449108","false",""
"WARRIKAL PTY LTD","21614209095","acnc_indigenous","true","company","","WA","Major Cities of Australia","8","132215902","false",""
"Pacific Services Group Holdings pty Ltd","80150022110","acnc_indigenous","true","company","","NSW","Major Cities of Australia","8","127971299","false",""
"Victorian Aboriginal Child and Community Agency Co Op Ltd","44665455609","self_identified","false","charity","Indigenous","VIC","Major Cities of Australia","6","125018594","false",""
"Manapan Furniture","17733512255","acnc_indigenous","true","social_enterprise","construction","ACT","","","125000000","false",""
"Aboriginal Community Housing Ltd","23165108654","self_identified","true","charity","Community","VIC","Major Cities of Australia","4","125000000","false",""
"Carey Training Pty Ltd","24099914664","acnc_indigenous","true","social_enterprise","mining","ACT","","","125000000","false",""
"CAREY GROUP TRAINING PTY LTD","35633460876","acnc_indigenous","true","social_enterprise","mining","SA","","","125000000","false",""
"The Arnhem Land Progress Aboriginal Corporation","52755439387","oric","false","indigenous_corp","construction","NT","Very Remote Australia","1","125000000","false",""
"THE ARNHEM LAND PROGRESS ABORIGINAL CORPORATION (52 755 439 387)","53374103051","self_identified","false","company","Construction","NT","Very Remote Australia","1","125000000","false",""
"ABORIGINAL COMMUNITY HOUSING (VIC) LTD","62653394293","self_identified","true","charity","Social Welfare","VIC","Major Cities of Australia","4","125000000","false",""
"Utju Health Service Aboriginal Corporation","76210591710","oric","false","indigenous_corp","health","NT","Remote Australia","1","125000000","false",""
"Community Enterprise Queensland","42060262890","acnc_indigenous","true","charity","Social Welfare","QLD","Outer Regional Australia","3","123259000","false",""
"ARA INDIGENOUS SERVICES PTY LTD","83605947822","self_identified","true","company","Construction","VIC","Major Cities of Australia","10","106150787","false",""
"CAREY MINING PTY LTD","75073810910","acnc_indigenous","true","company","Mining","WA","Major Cities of Australia","","102371054","false",""
"AUSTRALIAN TRUCK & 4WD RENTALS PTY LTD","88056422309","acnc_indigenous","true","company","","SA","Major Cities of Australia","4","100699237","true","138500"
"BY GROUP PTY LTD","88168458302","acnc_indigenous","true","company","","NSW","Major Cities of Australia","4","96360382","false",""
"Northern Land Council","56327515336","self_identified","false","charity","","NT","Outer Regional Australia","","89142000","false",""
"Kennelly Constructions PTY LTD","62142636173","acnc_indigenous","true","social_enterprise","Civil construction","ACT","Major Cities of Australia","8","87025695","false",""
"E-Bisglobal Pty Ltd","52092725570","acnc_indigenous","true","social_enterprise","Marketing services","ACT","Major Cities of Australia","4","75729507","false",""
"Noongar Boodja Trust","47613674461","self_identified","false","foundation","arts","NSW","Major Cities of Australia","4","73178025","false",""
"GULANGA GROUP PTY LTD","59606954992","acnc_indigenous","true","company","","ACT","Major Cities of Australia","10","72356925","false",""
"Aboriginal Investment NT","61234978285","self_identified","false","charity","Social Welfare","NT","Outer Regional Australia","9","70086000","false",""
"First Grade Group","19154150508","acnc_indigenous","true","company","","QLD","Major Cities of Australia","8","67646924","false",""
"Central Land Council","71979619393","self_identified","false","charity","Health","NT","Remote Australia","5","64011000","false",""
"Gumatj Corporation Limited","99123471787","acnc_indigenous","true","charity","Indigenous","NT","Outer Regional Australia","","63137430","false",""
"Pattemore Consultants Pty Ltd","86611502713","acnc_indigenous","true","social_enterprise","Demolition services","NT","Very Remote Australia","1","62545625","false",""
