name,abn,donated,donation_count,parties,contract_value,contract_count,contract_per_donation_dollar,sector,state,is_community_controlled
"Westpac Banking Corporation - QLD","33007457141","1473250202","5297","1973 Foundation Pty Ltd; 250 Club Limited; A.C.N. 009 936 010 Pty Ltd; A.C.N. 010 507 614 Pty Ltd; AEU NSW Teachers Federation; Altum Pty Ltd as Trustee for the Altum Head Quarters Trust; Australian Chamber of Commerce and Industry; Australian Democrats; Australian Democrats - NATIONAL; Australian Democrats - National Executive; Australian Democrats - WA Division; Australian Democrats NSW Division - NSW; Australian Democrats SA Division - SA; Australian Education Union; Australian Labor Party - National Secretariat; Australian Labor Party - State of Queensland; Australian Labor Party (ACT Branch); Australian Labor Party (ACT Branch) - ACT; Australian Labor Party (ALP); Australian Labor Party (ALP) - NATIONAL; Australian Labor Party (N.S.W. Branch); Australian Labor Party (N.S.W. Branch) - NSW; Australian Labor Party (Northern Territory) Branch; Australian Labor Party (NSW Branch); Australian Labor Party (NT Branch); Australian Labor Party (SA Branch); Australian Labor Party (South Australian Branch); Australian Labor Party (South Australian Branch) - SA; Australian Labor Party (State of Queensland); Australian Labor Party (State of Queensland) - QLD; Australian Labor Party (Tasmanian Branch); Australian Labor Party (Tasmanian Branch) - TAS; Australian Labor Party (VIC Branch); Australian Labor Party (Victorian Branch); Australian Labor Party (Victorian Branch) - VIC; Australian Labor Party (WA Branch); Australian Labor Party (Western Australian Branch); Australian Labor Party (Western Australian Branch) - WA; Australian Workers Union SA Branch; Bunori Pty Limited; Business Council of Australia; Canberra Labor Club Limited; CEPU - Electrical Division QLD & NT; CFMEU - Construction & General Division (WA Branch); Christian Democratic Party (Fred Nile Group); CLP Gifts & Legacies Pty Ltd; Communications, Electrical and Plumbing Union - Electrical, Energy and Services Division; Community and Public Sector Union (PSU Group); Cormack Foundation Pty Ltd; Country Labor Party; Country Liberal Party (NT); Dame Pattie Menzies Liberal Foundation; John Curtin House Limited; John McEwen House Pty Ltd; Katter's Australian Party (KAP); Labor Holdings Pty Ltd; LET Australia Ltd; Liberal National Party of Queensland; Liberal Party (W.A. Division) Inc; Liberal Party (W.A. Division) Inc.; Liberal Party (W.A. Division) Inc. - WA; Liberal Party of Australia; Liberal Party of Australia - ACT Division; Liberal Party of Australia - ACT Division - ACT; Liberal Party of Australia - Federal Secretariat; Liberal Party of Australia - NATIONAL; Liberal Party of Australia - Queensland Division; Liberal Party of Australia - Queensland Division - QLD; Liberal Party of Australia - Tasmanian Division; Liberal Party of Australia - Tasmanian Division - TAS; Liberal Party of Australia (NSW Division); Liberal Party of Australia (QLD Division); Liberal Party of Australia (S.A. Division); Liberal Party of Australia (S.A. Division) - SA; Liberal Party of Australia (SA Division); Liberal Party of Australia (VIC Division); Liberal Party of Australia (Victorian Division); Liberal Party of Australia (Victorian Division) - VIC; Liberal Party of Australia (WA Division) Inc; Liberal Party of Australia, NSW Division; Liberal Party of Australia, NSW Division - NSW; Minerals Council of Australia; National Free Enterprise Foundation (WA) Ltd; National Party of Australia; National Party of Australia - N.S.W.; National Party of Australia - N.S.W. - NSW; National Party of Australia - NATIONAL; National Party of Australia - National Secretariat; National Party of Australia - NSW; National Party of Australia - Victoria; National Party of Australia (Queensland); National Party of Australia (WA) Inc; New South Wales Local Government Clerical Administrative Energy Airlines & Utilities Union T/A United Services Union; Northern Territory Country Liberal Party; NPA Nominees Pty Ltd; Pauline Hanson's One Nation; Pauline Hanson's One Nation Ltd; Progressive Business Association Inc; Queensland Research Pty Ltd; Shop Distributive & Allied Employees Association - VIC Branch; The Breweries & Bottleyards Employees' Industrial Union of Workers of Western Australia; The Liberal Party of Western Australia Pty Ltd; The Page Research Centre Ltd; Transport Workers Union of Australia - Federal Council; Transport Workers Union of Australia SA/NT Branch; United Workers Union","109111720","56","0","Finance","NSW","false"
"COMMONWEALTH BANK OF AUSTRALIA","48123123124","1150713106","7138","ALP Holdings Pty Ltd as Trustee of the ALP Investment Trust; Aust Building Const Employees & Builders Labour Fed (QLD Br); Australasian Meat Industry Employees Union - Federal Council; Australasian Meat Industry Employees Union Victorian Branch; Australasian Meat Industry Employees' Union - NSW Branch; Australasian Meat Industry Employees' Union - QWANT Branch; Australian Democrats; Australian Democrats - NATIONAL; Australian Democrats - National Executive; Australian Democrats SA Division - SA; Australian Education Union; Australian Greens; Australian Labor Party - Holdings Pty Ltd; Australian Labor Party - National Secretariat; Australian Labor Party (ACT Branch); Australian Labor Party (ALP); Australian Labor Party (ALP) - NATIONAL; Australian Labor Party (N.S.W. Branch); Australian Labor Party (N.S.W. Branch) - NSW; Australian Labor Party (Northern Territory) Branch; Australian Labor Party (NSW Branch); Australian Labor Party (South Australian Branch); Australian Labor Party (South Australian Branch) - SA; Australian Labor Party (State of Queensland); Australian Labor Party (State of Queensland) - QLD; Australian Labor Party (TAS Branch); Australian Labor Party (VIC Branch); Australian Labor Party (Victorian Branch); Australian Labor Party (Victorian Branch) - VIC; Australian Labor Party (WA Branch); Australian Labor Party (Western Australian Branch); Australian Labor Party (Western Australian Branch) - WA; Australian Municipal Administrative Clerical & Services Union - Queensland Together Branch; Australian Municipal Administrative Clerical and Services Union; Australian Nursing & Midwifery Federation; Australian Nursing & Midwifery Federation (SA Branch) (State Body); Australian Nursing Federation Industrial Union of Workers Perth; Australian Rail Tram & Bus Industry Union New South Wales Branch; Australian Rail Tram & Bus Union (Victorian Branch); Australian Services Union of NSW & ACT (Services) Branch; Australian Services Union SA - NT Branch; Automotive Food Metals Engineering Printing & Kindred Ind. Union; AWU - Australian Workers Union (Tasmanian Branch); Business Council of Australia; Canberra Labor Club Limited; CEPU - Electrical Division QLD & NT; CEPU Communications Division (CWU QLD Branch); CEPU Plumbing Division - NSW (CEPU of Australia NSW Branch); CFMEU - Mining Division (Nth NSW District); CFMEU Construction & General Division VIC/TAS Branch; CFMEU Mining & Energy Division (Qld District Branch); Communication Workers Union Central Branch; Communications, Electrical and Plumbing Union - Electrical, Energy and Services Division; Construction Forestry Mining & Energy, Industrial Union of Employees, Queensland - Construction and General Division; Construction, Forestry, Maritime Employees Union; Cormack Foundation Pty Ltd; Country Labor Party; Country Liberal Party (NT); Dame Pattie Menzies Foundation Trust; Electrical Trades Union of Australia - Victoria Branch; EMILY's List Australia; Gatenby Investment Fund; Health Services Union NSW; Higgins 200 Club; Higgins Foundation Ltd; HSU East; John Curtin House Limited; John McEwen House Pty Ltd; Labor Campaign Pty Ltd; Labor Holdings Pty Ltd; Labor Services & Holding Pty Ltd ATF the Labor Services and Holding Trust; Liberal National Party of Queensland; Liberal Party (W.A. Division) Inc; Liberal Party (W.A. Division) Inc.; Liberal Party (W.A. Division) Inc. - WA; Liberal Party of Australia; Liberal Party of Australia - Federal Secretariat; Liberal Party of Australia - NATIONAL; Liberal Party of Australia - Queensland Division; Liberal Party of Australia - Queensland Division - QLD; Liberal Party of Australia - Tasmanian Division; Liberal Party of Australia - Tasmanian Division - TAS; Liberal Party of Australia (ACT Division); Liberal Party of Australia (NSW Division); Liberal Party of Australia (S.A. Division); Liberal Party of Australia (S.A. Division) - SA; Liberal Party of Australia (SA Division); Liberal Party of Australia (TAS Division); Liberal Party of Australia (VIC Division); Liberal Party of Australia (Victorian Division); Liberal Party of Australia (Victorian Division) - VIC; Liberal Party of Australia (WA Division) Inc; Liberal Party of Australia, NSW Division; Liberal Party of Australia, NSW Division - NSW; Media Entertainment & Arts Alliance; Mining and Energy Union; National Club Limited; National Club Ltd; National Party of Australia; National Party of Australia - N.S.W.; National Party of Australia - N.S.W. - NSW; National Party of Australia - NATIONAL; National Party of Australia - National Secretariat; National Party of Australia (Queensland); National Union of Workers - NSW Branch; National Union of Workers - Queensland Branch; National Union of Workers - Victorian Branch; New South Wales Local Government Clerical Administrative Energy Airlines & Utilities Union T/A United Services Union; New South Wales Nurses and Midwives' Association; Northern Territory Country Liberal Party; Parliamentary Liberal Party Communication Committee (Victoria); Pauline Hanson's One Nation; Perth Trades Hall Inc; Progressive Business Association Inc; Queensland Nurses Union of Employees; SA Progressive Business Incorporated; Shop Distributive & Allied Employees Association - Tasmanian Branch; Shop Distributive & Allied Employees Association - VIC Branch; Shop Distributive and Allied Employees Association (QLD Branch); Shop, Distributive & Allied Employees' Association - National; The 500 Club (WA); The Australian Workers' Union NSW Branch; The Australian Workers' Union of Employees Queensland; The Greens (WA) Inc; The Jim Killen Young Liberal Foundation; The Liberal Foundation Inc; The Liberal Party of Western Australia Pty Ltd; The Menzies Research Centre Limited; The Shop, Distributive & Allied Employees' Association of Western Australia; The Violet Bobin Trust; Transport Workers Union (WA Branch); Transport Workers Union of Australia SA/NT Branch; Transport Workers Union VIC/TAS Branch; United Firefighters Union of Australia QLD Branch; United Workers Union; Vapold Pty Ltd; Wass Bros Pty Ltd","252978472","72","0","Finance","NSW","false"
"Australian Electoral Commission","21133285851","1082546440","800","Australian Christians; Australian Conservatives; Australian Democrats; Australian Democrats NSW Division; Australian Democrats Queensland Division; Australian Democrats SA Division; Australian Democrats Tasmanian Division; Australian Democrats Victorian Division; Australian Democrats, Western Australian Division; Australian Greens; Australian Greens (South Australia); Australian Greens Queensland Branch; Australian Greens Victoria; Australian Greens, Australian Capital Territory Branch; Australian Greens, Northern Territory Branch; Australian Greens, Tasmanian Branch; Australian Greens, Victorian Branch; Australian Labor Party (ACT Branch); Australian Labor Party (ALP); Australian Labor Party (N.S.W. Branch); Australian Labor Party (Northern Territory) Branch; Australian Labor Party (South Australian Branch); Australian Labor Party (State of Queensland); Australian Labor Party (Tasmanian Branch); Australian Labor Party (Victorian Branch); Australian Labor Party (Western Australian Branch); Australian Recreational Fishers Party; Australian Shooters Party; Australians Against Further Immigration; Bullet Train For Australia; Centre Alliance; Christian Democratic Party (Fred Nile Group); Country Liberal Party (NT); David Pocock; Family First Party; Family First Party - QLD; Jacqui Lambie Network; Katter's Australian Party (KAP); Kim for Canberra; KP Independents Limited; Kylea Tink Independent Limited; Liberal Democratic Party; Liberal Democratic Party (WA Branch); Liberal National Party of Queensland; Liberal Party (W.A. Division) Inc; Liberal Party of Australia; Liberal Party of Australia - ACT Division; Liberal Party of Australia - Queensland Division; Liberal Party of Australia - Tasmanian Division; Liberal Party of Australia (S.A. Division); Liberal Party of Australia (Victorian Division); Liberal Party of Australia, NSW Division; National Party of Australia - N.S.W.; National Party of Australia - Victoria; National Party of Australia (Queensland); National Party of Australia (S.A.) Inc.; National Party of Australia (WA) Inc; One Nation Queensland Division; One Nation SA; One Nation Victoria; Palmer United Party; Pauline Hanson's One Nation; Pauline Hanson's One Nation - QLD; Pauline Hanson's One Nation - WA; Pauline Hanson's One Nation Ltd; Pauline's United Australia Party; Progressive Labour Party; Queensland Greens; Rise Up Australia Party; Shooters, Fishers and Farmers Party; Tasmanian Independent Senator Brian Harradine Group; The ACT Greens - ACT; The Australian Greens - Victoria; The Greens (WA) Inc; The Greens NSW; United Australia Party; Unity - Say No To Hanson; Victorian Socialists; Yellow Vest Australia","612192","5","0","","ACT","false"
"NSW Electoral Commission","94828824124","525818842","1250","Animal Justice Party; Australian Cyclists Party; Australian Labor Party (N.S.W. Branch); Australian Labor Party (Northern Territory) Branch; Christian Democratic Party (Fred Nile Group); Country Labor Party; Liberal Party of Australia, NSW Division; National Party of Australia - N.S.W.; Pauline Hanson's One Nation; Sustainable Australia Party - Universal Basic Income; The Greens NSW","358740","3","0","","NSW","false"
"Woolworths Limited","88000014675","373932302","546","AEU NSW Teachers Federation; Australian Chamber of Commerce and Industry; Australian Education Union; Australian Labor Party (ALP); Australian Labor Party (N.S.W. Branch); Australian Labor Party (South Australian Branch); Australian Labor Party (State of Queensland); Australian Labor Party (Victorian Branch); Australian Labor Party (Western Australian Branch); Automotive Food Metals Engineering Printing & Kindred Ind. Union; Business Council of Australia; Cormack Foundation Pty Ltd; Labor Holdings Pty Ltd; Liberal Party (W.A. Division) Inc; Liberal Party of Australia; Liberal Party of Australia (Victorian Division); Liberal Party of Australia, NSW Division; National Club Limited; National Club Ltd; National Party of Australia - N.S.W.; Shop Distributive and Allied Employees Association (QLD Branch); Shop, Distributive and Allied Employees Association, South Australia; The Liberal Party of Western Australia Pty Ltd; The Shop, Distributive & Allied Employees' Association of Western Australia; Vapold Pty Ltd","2905314","33","0","Finance","NSW","false"
"Director of National Parks","34190894983","274222084","2166","281 Sandgate Road Properties Pty Ltd; 500 Club of New South Wales Inc; A.C.N. 009 936 010 Pty Ltd; A.C.N. 010 507 614 Pty Ltd; Advance Australia; AEU NSW Teachers Federation; Allegra for Wentworth Pty Ltd; Animal Justice Party; Arthur Macartney Family Trust; Australasian Meat Industry Employees' Union - NSW Branch; Australian Automobile Association; Australian Conservatives; Australian Council of Trade Unions; Australian Democrats; Australian Education Union; Australian Education Union Victorian Branch; Australian Federated Union of Locomotive Employees; Australian Greens; Australian Greens (South Australia); Australian Greens Queensland Branch; Australian Greens Victoria; Australian Greens, Australian Capital Territory Branch; Australian Greens, Tasmanian Branch; Australian Greens, Victorian Branch; Australian Labor Party (ACT Branch); Australian Labor Party (ALP); Australian Labor Party (N.S.W. Branch); Australian Labor Party (Northern Territory) Branch; Australian Labor Party (South Australian Branch); Australian Labor Party (State of Queensland); Australian Labor Party (Tasmanian Branch); Australian Labor Party (Victorian Branch); Australian Labor Party (Western Australian Branch); Australian Municipal Administrative Clerical & Services Union - Queensland Together Branch; Australian Municipal Administrative Clerical and Services Union; Australian Municipal, Administrative, Clerical and Services Union - Queensland (Services and Northern Administrative) Branch; Australian Nursing & Midwifery Federation; Australian Rail Tram & Bus Union (Victorian Branch); Australian Services Union - Victorian & Tasmanian Authorities & Services Branch; Australian Services Union of NSW & ACT (Services) Branch; Automotive Food Metals Engineering Printing & Kindred Ind. Union; Bjelke Petersen Foundation Trust; Bowen Pastoral Company; Bunori Pty Limited; Business Council of Australia; Canberra Labor Club Limited; CEC Australia (Services) Pty Ltd; Centre Alliance; CEPU - Electrical Division QLD & NT; CEPU Communications Division (CWU QLD Branch); CEPU Plumbing Division Queensland Branch; CEPU Plumbing Division Victoria; CFMEU - Construction & General Division (WA Branch); CFMEU - Mining Division (Nth NSW District); CFMEU FFPD Division; CFMEU Mining & Energy Division (Qld District Branch); CFMEU Northern Mining & NSW Energy District; CFMEU Pulp & Paper Workers' Branch No. 7; Christian Democratic Party (Fred Nile Group); Christian Democratic Party (Fred Nile Group) WA Branch; Climate 200 Pty Limited; CLP Gifts & Legacies Pty Ltd; Communications, Electrical and Plumbing Union - Electrical, Energy and Services Division; Community and Public Sector Union (PSU Group); Constituent Management Services Pty Ltd; Construction, Forestry, Maritime Employees Union; Cormack Foundation Pty Ltd; Country Labor Party; Country Liberal Party (NT); Curlew Nominee Trust; DB Scott & Co; Doonkami Pastoral Company Pty Ltd; Electrical Trades Union of Australia - Victoria Branch; Electrical Trades Union of Australia NSW Branch; Electrical Trades Union of Employees Queensland; Family First Party; Family First Party - SA; Family First Party - VIC; Flight Attendants Association of Australia - National Division; Forward Brisbane Leadership; Foundation 51 Pty Ltd; GetUp Limited; Health Services Union NSW; Higgins 200 Club; It's Not A Race Ltd; John Curtin House Limited; John McEwen House Pty Ltd; Katter's Australian Party (KAP); Kim for Canberra; Kooyong 200 Club; Kooyong Independent Limited; KP Independents Limited; Kylea Tink Independent Limited; Labor Holdings Pty Ltd; Labor Services & Holding Pty Ltd ATF the Labor Services and Holding Trust; Laneway Assets Pty Ltd; LET Australia Ltd; Libco Pty Ltd; Liberal Club Ltd; Liberal National Party of Queensland; Liberal Party (W.A. Division) Inc; Liberal Party of Australia; Liberal Party of Australia - ACT Division; Liberal Party of Australia - Queensland Division; Liberal Party of Australia - Tasmanian Division; Liberal Party of Australia (S.A. Division); Liberal Party of Australia (Victorian Division); Liberal Party of Australia, NSW Division; Liberal Properties Limited; MINERALOGY PTY LTD; Mining and Energy Union; National Disability Services Limited; National Party of Australia; National Party of Australia - N.S.W.; National Party of Australia - Victoria; National Party of Australia (Queensland); National Party of Australia (WA) Inc; National Union of Workers - General Branch; National Union of Workers - National Office; National Union of Workers - Victorian Branch; National Union of Workers SA Branch; New South Wales Local Government Clerical Administrative Energy Airlines & Utilities Union T/A United Services Union; New South Wales Nurses and Midwives' Association; NPA Nominees Pty Ltd; NSW Local Gov't Clerical, Admin, Energy, Airlines & Ut (Nat); NTN Services; Palmer United Party; Parakeelia Pty Ltd; Pauline Hanson's One Nation; Perth Trades Hall Inc; Queensland Greens; Queensland Teachers Union; SA Progressive Business Incorporated; Shop Distributive & Allied Employees Association - VIC Branch; Shop Distributive & Allied Employees' Asn. NSW Deductions A/C Office; Shop Distributive & Allied Employees' Association NSW Branch; Shop Distributive and Allied Employees Association (QLD Branch); Shop, Distributive & Allied Employees' Association - National; Shop, Distributive and Allied Employees Association, South Australia; Shop, Distributive and Allied Employees Association, South Australian and Northern Territory Branch; T F Kerin Agricultural Co; Taree Lands Pty Ltd, ATF Taree Lands Pty Ltd Trust; The Australian Greens - Victoria; The Australian Workers' Union NSW Branch; The Australian Workers' Union of Employees Queensland; The Australian Workers' Union Victorian Branch; The Chifley Research Centre Ltd; The Green Institute Limited; The Greens (WA) Inc; The Greens NSW; The Liberal Party of Western Australia Pty Ltd; The Menzies Research Centre Limited; The Shop, Distributive & Allied Employees' Association of Western Australia; The United Professional Firefighters Union of Western Australia; Together Queensland Industrial Union of Employees; Transport Workers Union of Australia - Federal Council; Transport Workers Union of Australia - NSW Branch; Transport Workers Union of Australia SA/NT Branch; Transport Workers Union of New South Wales; United Firefighters Union of Australia VIC; United Workers Union; Universities Australia; Vapold Pty Ltd; Warringah Independent Limited; Yellow Vest Australia","30571377","80","0","Government","ACT","false"
"Australian Agricultural & Resource Economics Society","96079246304","266253466","1296","Australian Labor Party (ACT Branch); Australian Labor Party (ALP); Australian Labor Party (N.S.W. Branch); Australian Labor Party (State of Queensland); Australian Labor Party (Tasmanian Branch); Australian Labor Party (Victorian Branch); Australian Labor Party (Victorian Branch) - VIC; Australian Municipal Administrative Clerical and Services Union; Australian Workers Union - National Office; AWU Port Kembla Branch; CFMEU FFPD Division; Labor Services & Holding Pty Ltd ATF the Labor Services and Holding Trust; National Union of Workers - General Branch; National Union of Workers - National Office; New South Wales Nurses and Midwives' Association; Shop Distributive & Allied Employees' Asn. NSW Deductions A/C Office; Shop, Distributive & Allied Employees' Association - National; The Australian Workers' Union of Employees Queensland; Together Queensland Industrial Union of Employees; Transport Workers Union of Australia - Federal Council","86900","4","0","","ACT","false"
"NATIONAL AUSTRALIA BANK LIMITED","12004044937","150280593","1809","AEU NSW Teachers Federation; Altum Pty Ltd as Trustee for the Altum Head Quarters Trust; Australian Automobile Association; Australian Democrats; Australian Education Union; Australian Labor Party; Australian Labor Party - National Secretariat; Australian Labor Party (ACT Branch); Australian Labor Party (ALP); Australian Labor Party (ALP) / ALP; Australian Labor Party (Victorian Branch); Australian Labor Party / ALP; Australian Services Union of NSW & ACT (Services) Branch; Automotive Food Metals Engineering Printing & Kindred Ind. Union; Bowen Pastoral Company; Business Council of Australia; Canberra Labor Club Limited; Casey Business Briefing Club; CEPU Electrical, Energy and Services Division - Tasmanian Branch; CFMEU Construction & General Division VIC/TAS Branch; Community and Public Sector Union (PSU Group); Construction, Forestry, Maritime Employees Union; Cormack Foundation Pty Ltd; Electrical Trades Union of Australia - Victoria Branch; Electrical Trades Union of Australia NSW Branch; Forward Brisbane Leadership; Higgins 200 Club; Higgins Foundation Ltd; Labor Holdings Pty Ltd; Laneway Assets Pty Ltd as Trustee for the National Policy Forum Trust; Libco Pty Ltd; Liberal Party (W.A. Division) Inc; Liberal Party (W.A. Division) Inc. / LIB-WA; Liberal Party of Australia; Liberal Party of Australia - ACT Division; Liberal Party of Australia - Federal Secretariat; Liberal Party of Australia - Queensland Division; Liberal Party of Australia - Tasmanian Division; Liberal Party of Australia (Victorian Division); Liberal Party of Australia (Victorian Division) / LIB-VIC; Liberal Party of Australia / LIB; Liberal Party of Australia, NSW Division; Liberal Party of Australia, NSW Division / LIB-NSW; Liberal Party of Australia, NSW Division / LIB/NSW; Liberal Party of Australia, NSW Divison / LIB-NSW; LPPH Pty Ltd; McClymont Holdings Pty Ltd; Media Entertainment & Arts Alliance; Milpose Pastoral Company; MINERALOGY PTY LTD; Minerals Council of Australia; National Club Limited; National Club Ltd; National Party of Australia; National Party of Australia - N.S.W.; National Party of Australia - National Secretariat; National Party of Australia - Victoria; National Union of Workers - National Office; New South Wales Local Government Clerical Administrative Energy Airlines & Utilities Union T/A United Services Union; North Sydney Forum/LIB-FED; NPA Nominees Pty Ltd; Parakeelia Pty Ltd; Pauline Hanson's One Nation Trust; Progressive Business Association (ALP Victoria); Progressive Business Association/ALP-VIC; Queensland Nurses Union of Employees; Shop Distributive and Allied Employees Association (QLD Branch); Shop, Distributive and Allied Employees Association, South Australia; The 500 Club (VIC) (Liberal Party - Victorian Division); The Free Enterprise Foundation; The Greenfields Foundation; The Liberal Party of Western Australia Pty Ltd; The Menzies Research Centre Limited; The Shop, Distributive & Allied Employees' Association of Western Australia; Transport Workers Union of Australia - Federal Council; Transport Workers Union of Australia SA/NT Branch; Transport Workers Union of New South Wales; United Workers Union; Universities Australia; Vapold Pty Ltd","879589971","48","6","Finance","VIC","false"
"Australia and New Zealand Banking Group","11005357522","131827686","626","AEU NSW Teachers Federation; Australian Education Union; Australian Labor Party (ALP); Australian Labor Party (N.S.W. Branch); Australian Labor Party (State of Queensland); Australian Labor Party (Tasmanian Branch); Australian Labor Party (Victorian Branch); Business Council of Australia; Canberra Labor Club Limited; CFMEU Northern Mining & NSW Energy District; Cormack Foundation Pty Ltd; DB Scott & Co; Doonkami Pastoral Company Pty Ltd; Electrical Trades Union of Australia NSW Branch; Inverell Power Farm Co; Labor Holdings Pty Ltd; Laneway Assets Pty Ltd; Liberal Party (W.A. Division) Inc; Liberal Party of Australia; Liberal Party of Australia - Queensland Division; Liberal Party of Australia - Tasmanian Division; Liberal Party of Australia (S.A. Division); Liberal Party of Australia (Victorian Division); Liberal Party of Australia, NSW Division; MINERALOGY PTY LTD; Minerals Council of Australia; National Party of Australia; New South Wales Local Government Clerical Administrative Energy Airlines & Utilities Union T/A United Services Union; Queensland Nurses Union of Employees; The 500 Club Inc; Transport Workers Union (WA Branch); Transport Workers Union of Australia NSW QLD Interim Governance Branch formerly Transport Workers Union of Australia Queensland; United Workers Union; Vapold Pty Ltd","80600128","36","1","Finance","VIC","false"
"GPT Funds Management 2 Pty Ltd","72115026536","83027198","2","Communication Workers Union Central Branch","10861934","5","0","","NSW","false"
