Date       | Src  | $          | Vendor                          | Description / Note
-----------+------+------------+---------------------------------+-----------------------------------------------------------
2025-02-03 | spnd |     570.00 | Chris Witta                     | 
2025-02-10 | spnd |     411.00 | Chris Witta                     | 
2025-02-10 | spnd |      94.50 | Nest In Witta                   | 
2025-02-10 | spnd |     103.50 | Nest In Witta                   | 
2025-03-15 | spnd |       9.00 | Nest In Witta                   | 
2025-03-17 | spnd |     380.00 | Chris Witta                     | Slashing - No tax invoice provided > $82.50
2025-03-20 | bill |      46.20 | Maleny Hardware And Rural Suppl | Lawn seed blend queensland
2025-03-24 | spnd |      80.00 | Chris Witta                     | No tax invoice provided > $82.50
2025-03-25 | bill |    2420.00 | Dave Kan Photography            | Event photography – PRF Fellows Gathering, 20-21 March 2025 at Minjerribah (North Stradbroke Island).
2025-03-31 | bill |     423.84 | Lone Dingo                      | Jacket, Socks & Water Bottle
2025-03-31 | bill |      46.20 | Maleny Hardware And Rural Suppl | Lawn seed blend
2025-04-01 | bill |     438.50 | Tess Fashions                   | Clothing alterations
2025-04-02 | spnd |    1132.00 | Kennards Hire                   | KENNARDS HIRE HO WA SEVEN HILLS
2025-04-04 | bill |    1282.40 | Kennards Hire                   | Hire of Trailer & Ute | Hire of Trailer & Ute
2025-04-08 | spnd |     280.00 | Chris Witta                     | 
2025-04-22 | spnd |     400.00 | Chris Witta                     | 
2025-04-22 | spnd |    8888.00 | Claire Marchesi                 | [? purpose unconfirmed] 
2025-04-24 | spnd |      12.09 | Soil To Supper                  | cc transaction fee
2025-05-02 | bill |    2585.52 | Maleny Hardware And Rural Suppl | AP 500 S BATTERY #EA01-400-6500 - Serial Number: 926145247 Serial Number: 926145299 | AL 301-4 BATTERY CHARGER
2025-05-03 | bill |      42.68 | Maleny Hardware And Rural Suppl | Spreader Fertilizer Hand Scotts
2025-05-05 | spnd |     440.00 | Chris Witta                     | 
2025-05-06 | spnd |     103.00 | Lone Dingo                      | Personal as per NM 25.06.25 FD41389
2025-05-17 | bill |       9.05 | Maleny Hardware And Rural Suppl | Gudgeon Long Bolt
2025-05-19 | spnd |     150.00 | Claire Marchesi                 | 
2025-05-23 | bill |     112.50 | Maleny Hardware And Rural Suppl | Insect screen x 20m; PVC spline
2025-05-29 | spnd |     146.23 | Maleny Hardware And Rural Suppl | 
2025-05-30 | spnd |     116.00 | Kennards Hire                   | Personal as per NM 29.06.25
2025-06-02 | spnd |     616.50 | Chris Witta                     | 
2025-06-07 | bill |      26.60 | Maleny Hardware And Rural Suppl | Curtain Rod 16mm x 3m White
2025-06-09 | spnd |     540.00 | Chris Witta                     | 
2025-06-19 | bill |      73.70 | Maleny Hardware And Rural Suppl | BEDDING WOODSHAVINGS HYSORB BALE GUMBOOT FARMLITE PVC SIZE 7
2025-06-25 | bill |     778.00 | Kennards Hire                   | 5 washing mashines to go with ute.
2025-06-30 | bill |     100.30 | Maleny Hardware And Rural Suppl | CURTAIN ROD 16MM X 3MT WHITE BEDDING WOODSHAVINGS HYS GUMBOOT FARMLITE PVC SIZE 7
2025-07-01 | spnd |      52.86 | Flight Bar Witta                | [⚠ NT/SA travel — wrong project] SMP*Memories Bistro dcTennant Cr
2025-07-02 | spnd |      42.69 | Flight Bar Witta                | [⚠ NT/SA travel — wrong project] SMP*Memories Bistro dcTennant Cr
2025-07-02 | spnd |     102.67 | Flight Bar Witta                | [⚠ NT/SA travel — wrong project] SMP*Memories Bistro dcTennant Cr
2025-07-04 | spnd |     134.62 | Flight Bar Witta                | [⚠ NT/SA travel — wrong project] Hanuman Restaurant Ali Alice Springs
2025-07-04 | spnd |      64.48 | Flight Bar Witta                | [⚠ NT/SA travel — wrong project] SMP*Devils Marbles Ho Davenport
2025-07-04 | spnd |      83.40 | Kennards Hire                   | 
2025-07-26 | bill |      32.00 | Maleny Hardware And Rural Suppl | .
2025-07-29 | bill |      69.00 | Maleny Hardware And Rural Suppl | .
2025-07-29 | bill |     124.10 | Maleny Hardware And Rural Suppl | .
2025-07-30 | bill |      57.75 | Maleny Hardware And Rural Suppl | .
2025-07-31 | bill |     423.75 | Maleny Hardware And Rural Suppl | .
2025-08-01 | bill |     423.75 | Maleny Hardware And Rural Suppl | .
2025-08-04 | spnd |     360.00 | Chris Witta                     | CHRIS WITTA B8161124077 Drain and tow than
2025-08-05 | spnd |      29.87 | Flight Bar Witta                | [⚠ NT/SA travel — wrong project] SPARS SUPERMARKET DUNWICHDUNWICH
2025-08-08 | bill |     125.75 | Maleny Hardware And Rural Suppl | .
2025-08-09 | bill |      38.95 | Maleny Hardware And Rural Suppl | .
2025-08-11 | spnd |      57.90 | Flight Bar Witta                | [⚠ NT/SA travel — wrong project] SweetBrew & Co STUART PARK
2025-08-18 | spnd |     340.00 | Chris Witta                     | CHRIS WITTA Y5372717898 Pipe thanks
2025-08-19 | spnd |      49.95 | Flight Bar Witta                | [⚠ NT/SA travel — wrong project] KFC ALICE SPRINGS ALICE SPRINGS
2025-08-19 | spnd |     105.66 | Flight Bar Witta                | [⚠ NT/SA travel — wrong project] Hanuman Restaurant Ali Alice Springs
2025-08-20 | spnd |     502.92 | Flight Bar Witta                | [⚠ NT/SA travel — wrong project] TENNANT FOOD BARN TENNANT CREEK
2025-08-20 | spnd |      10.50 | Flight Bar Witta                | [⚠ NT/SA travel — wrong project] SQ *BAY LEAF CAFE Tennant Creek
2025-08-20 | spnd |     500.00 | Flight Bar Witta                | [⚠ NT/SA travel — wrong project] TENNANT FOOD BARN TENNANT CREEK
2025-08-20 | spnd |      38.80 | Flight Bar Witta                | [⚠ NT/SA travel — wrong project] MRS PERRY S FISH AND TENNANT CREEK
2025-08-20 | spnd |      13.80 | Flight Bar Witta                | [⚠ NT/SA travel — wrong project] SQ *BAY LEAF CAFE Tennant Creek
2025-08-20 | spnd |     265.00 | Kennards Hire                   | 
2025-08-21 | spnd |     258.19 | Flight Bar Witta                | [⚠ NT/SA travel — wrong project] SMP*Memories Bistro dcTennant Cr
2025-08-21 | spnd |      32.29 | Flight Bar Witta                | [⚠ NT/SA travel — wrong project] J R ROWDEN AND F V SNO ALICE SPRINGS
2025-08-21 | spnd |       9.50 | Flight Bar Witta                | [⚠ NT/SA travel — wrong project] TI TREE RH 9787 TI TREE
