quarter,date,direction,vendor,amount,bank_status,xero_state,evidence_state,next_action,risk,owner,safe_to_click,project_code,rd_eligible,xero_target_id,receipt_document_id,receipt_source,receipt_confidence,candidate_count,rejected_candidate_count,who,what,why,tax_rate,reason,description,bank_line_id
Q2,2025-11-18,debit,Carla Furnishers,5590.00,unreconciled,unreconciled_target_missing,uncovered,find_receipt,high,ben,false,ACT-GD,true,,,,,0,0,Carla Furnishers,409 - Client to Advise,"Carla Furnishers - confirm receipt, project, and account before reconciling",GST on Expenses,Unreconciled spend over threshold with no approved receipt or exact bill target. Find receipt or code BAS excluded with explicit review.,CARLA FURNISHERS P/L CICCONE · NAB Visa ACT #8815,7fcdbba9-27d5-495f-86aa-4113582ef12c
Q2,2025-12-10,debit,Kennards Hire,2871.00,unreconciled,unreconciled_target_missing,uncovered,find_receipt,high,ben,false,ACT-MY,false,,,,,0,0,Kennards Hire,409 - Client to Advise,Kennards Hire supplies/equipment - confirm project and account,GST on Expenses,Unreconciled spend over threshold with no approved receipt or exact bill target. Find receipt or code BAS excluded with explicit review.,KENNARDS HIRE HO QLD SEVEN HILLS · NAB Visa ACT #8815,2b6fd6a0-7e10-40d4-9784-5f6a7601db1e
Q2,2025-12-01,debit,JB Hi-Fi,1491.90,unreconciled,unreconciled_target_missing,uncovered,find_receipt,high,ben,false,ACT-IN,true,,,,,0,0,JB Hi-Fi,409 - Client to Advise,"JB Hi-Fi - confirm receipt, project, and account before reconciling",GST on Expenses,Unreconciled spend over threshold with no approved receipt or exact bill target. Find receipt or code BAS excluded with explicit review.,JB HI FI KEDRON HOME KEDRON · NAB Visa ACT #8815,5711fc4e-33b7-4a75-a4cb-fb321fad61e0
Q2,2025-11-10,debit,BRALINDA INVESTMENTS P ALICE SPRINGS,1213.20,unreconciled,unreconciled_target_missing,uncovered,find_receipt,high,ben,false,ACT-GD,true,,,,,0,0,BRALINDA INVESTMENTS P ALICE SPRINGS,409 - Client to Advise,"BRALINDA INVESTMENTS P ALICE SPRINGS - confirm receipt, project, and account before reconciling",GST on Expenses,Unreconciled spend over threshold with no approved receipt or exact bill target. Find receipt or code BAS excluded with explicit review.,BRALINDA INVESTMENTS P ALICE SPRINGS · NAB Visa ACT #8815,0236c8da-bc7b-4a18-8e00-c8385f1ea0bb
Q2,2025-10-20,debit,Avis,1032.90,unreconciled,unreconciled_target_missing,uncovered,find_receipt,high,ben,false,ACT-IN,true,,,,,0,0,Avis,493 - Travel - National,Avis travel-related spend,GST on Expenses,Unreconciled spend over threshold with no approved receipt or exact bill target. Find receipt or code BAS excluded with explicit review.,AVIS AUSTRALIA MASCOT · NAB Visa ACT #8815,f0696b64-5c50-4672-9269-98a3d5a04e80
Q2,2025-11-11,debit,ALICE SPRINGS CASINO O ALICE SPRINGS,1012.56,unreconciled,unreconciled_target_missing,uncovered,find_receipt,high,ben,false,ACT-GD,true,,,,,0,0,ALICE SPRINGS CASINO O ALICE SPRINGS,409 - Client to Advise,"ALICE SPRINGS CASINO O ALICE SPRINGS - confirm receipt, project, and account before reconciling",GST on Expenses,Unreconciled spend over threshold with no approved receipt or exact bill target. Find receipt or code BAS excluded with explicit review.,ALICE SPRINGS CASINO O ALICE SPRINGS · NAB Visa ACT #8815,91d3f2e0-c567-42e5-b02b-c19f66dd1a58
Q2,2025-12-01,debit,Bargain Car Rentals,998.94,unreconciled,unreconciled_target_missing,uncovered,find_receipt,high,ben,false,ACT-GD,true,,,,,0,0,Bargain Car Rentals,409 - Client to Advise,"Bargain Car Rentals - confirm receipt, project, and account before reconciling",GST on Expenses,Unreconciled spend over threshold with no approved receipt or exact bill target. Find receipt or code BAS excluded with explicit review.,BARGAINCARRENTALS HOBART · NAB Visa ACT #8815,1a376120-6f5a-499d-a7cd-581ef7ecaa9b
Q2,2025-12-01,debit,Bargain Car Rentals,809.29,unreconciled,unreconciled_target_missing,uncovered,find_receipt,high,ben,false,ACT-GD,true,,,,,0,0,Bargain Car Rentals,409 - Client to Advise,"Bargain Car Rentals - confirm receipt, project, and account before reconciling",GST on Expenses,Unreconciled spend over threshold with no approved receipt or exact bill target. Find receipt or code BAS excluded with explicit review.,BARGAINCARRENTALS HOBART · NAB Visa ACT #8815,b81128a2-4e2e-4748-8b05-bcc46affe79e
Q2,2025-10-20,debit,Virgin Australia,759.45,unreconciled,unreconciled_target_missing,uncovered,find_receipt,high,ben,false,ACT-HV,false,,,,,0,2,Virgin Australia,493 - Travel - National,Virgin Australia travel-related spend,GST on Expenses,Unreconciled spend over threshold with no approved receipt or exact bill target. Find receipt or code BAS excluded with explicit review.,VIRGIN AUSTRALIA BRISBANE · NAB Visa ACT #8815,07624ff2-7a68-4f51-bc86-2a7aa80d88a5
Q2,2025-12-01,debit,P & J Mabasa,674.00,unreconciled,unreconciled_target_missing,uncovered,find_receipt,high,ben,false,ACT-GD,true,,,,,0,0,P & J Mabasa,409 - Client to Advise,"P & J Mabasa - confirm receipt, project, and account before reconciling",GST on Expenses,Unreconciled spend over threshold with no approved receipt or exact bill target. Find receipt or code BAS excluded with explicit review.,P & J MABASA PL ALICE SPRINGS · NAB Visa ACT #8815,4423b436-cd2b-4a12-a00a-e4cbdb356a07
Q2,2025-10-07,debit,A W M ELECTRICAL WHO ALICE SPRINGS,395.77,unreconciled,unreconciled_target_missing,uncovered,find_receipt,high,ben,false,ACT-GD,true,,,,,0,0,A W M ELECTRICAL WHO ALICE SPRINGS,409 - Client to Advise,A W M ELECTRICAL WHO ALICE SPRINGS supplies/equipment - confirm project and account,GST on Expenses,Unreconciled spend over threshold with no approved receipt or exact bill target. Find receipt or code BAS excluded with explicit review.,A W M ELECTRICAL WHO ALICE SPRINGS · NAB Visa ACT #8815,d76fdbe6-23b1-44b6-88a0-33d185468fce
Q2,2025-10-14,debit,BEARPEP PTY LTD LARRAKEYAH,323.30,unreconciled,unreconciled_target_missing,uncovered,find_receipt,high,ben,false,ACT-GD,true,,,,,0,0,BEARPEP PTY LTD LARRAKEYAH,409 - Client to Advise,"BEARPEP PTY LTD LARRAKEYAH - confirm receipt, project, and account before reconciling",GST on Expenses,Unreconciled spend over threshold with no approved receipt or exact bill target. Find receipt or code BAS excluded with explicit review.,BEARPEP PTY LTD LARRAKEYAH · NAB Visa ACT #8815,a02f9ced-9407-4285-a255-eb82d2f66591
Q2,2025-12-15,debit,Alice Springs Casino,298.92,unreconciled,unreconciled_target_missing,uncovered,find_receipt,high,ben,false,ACT-GD,true,,,,,0,0,Alice Springs Casino,409 - Client to Advise,"Alice Springs Casino - confirm receipt, project, and account before reconciling",GST on Expenses,Unreconciled spend over threshold with no approved receipt or exact bill target. Find receipt or code BAS excluded with explicit review.,ALICE SPRINGS CASINO O ALICE SPRINGS · NAB Visa ACT #8815,7b78bbed-d217-4416-b4d8-bd749894806a
Q2,2025-10-15,debit,NOVOTEL SYDNEY WEST HQ ROOTY HILL,239.00,unreconciled,unreconciled_target_missing,uncovered,find_receipt,high,ben,false,ACT-GD,true,,,,,0,0,NOVOTEL SYDNEY WEST HQ ROOTY HILL,493 - Travel - National,NOVOTEL SYDNEY WEST HQ ROOTY HILL travel-related spend,GST on Expenses,Unreconciled spend over threshold with no approved receipt or exact bill target. Find receipt or code BAS excluded with explicit review.,NOVOTEL SYDNEY WEST HQ ROOTY HILL · NAB Visa ACT #8815,2bc56b17-e900-4548-b8c2-fcf8be0aa531
Q2,2025-11-18,debit,TICKETS*FARM MY SC 0404900312,103.00,unreconciled,unreconciled_target_missing,uncovered,find_receipt,high,ben,false,ACT-FM,false,,,,,0,0,TICKETS*FARM MY SC 0404900312,409 - Client to Advise,"TICKETS*FARM MY SC 0404900312 - confirm receipt, project, and account before reconciling",GST on Expenses,Unreconciled spend over threshold with no approved receipt or exact bill target. Find receipt or code BAS excluded with explicit review.,TICKETS*FARM MY SC 0404900312 · NAB Visa ACT #8815,b2f8191d-6e96-4568-8bc3-ed2a32f4648c
Q2,2025-11-24,debit,Hatch Electrical,27201.35,unreconciled,unreconciled_target_missing,candidate,review_receipt_candidate,medium,ben,false,ACT-PI,false,,,dext_receipt,1,3,0,Hatch Electrical,409 - Client to Advise,Hatch Electrical supplies/equipment - confirm project and account,GST on Expenses,"Receipt candidate exists. Preview the file; approve if vendor/date/amount are correct, otherwise reject it.",HATCH ELECTRICAL ZILLMERE · NAB Visa ACT #8815,53b66090-b58c-4341-bacb-548ded375a6d
Q2,2025-11-12,debit,Hatch Electrical,20244.64,unreconciled,unreconciled_target_missing,candidate,review_receipt_candidate,medium,ben,false,ACT-PI,false,,,dext_receipt,1,4,0,Hatch Electrical,409 - Client to Advise,Hatch Electrical supplies/equipment - confirm project and account,GST on Expenses,"Receipt candidate exists. Preview the file; approve if vendor/date/amount are correct, otherwise reject it.",HATCH ELECTRICAL ZILLMERE · NAB Visa ACT #8815,eca7283a-b029-4ac6-9e5c-675335e155e0
Q2,2025-12-24,debit,Telford Smith Engine,19800.00,unreconciled,unreconciled_target_missing,candidate,review_receipt_candidate,medium,ben,false,ACT-FM,false,,,dext_receipt,1,5,0,Telford Smith Engine,409 - Client to Advise,"Telford Smith Engine - confirm receipt, project, and account before reconciling",GST on Expenses,"Receipt candidate exists. Preview the file; approve if vendor/date/amount are correct, otherwise reject it.",TELFORD SMITH ENGINE DANDENONG SOU · NAB Visa ACT #8815,41f4bc92-0b15-44f4-b8ef-bbb6ad454dfe
