date,contact_name,total,project_code,entity_code,bank_account,has_attachments,is_reconciled,rd_eligible,rd_category,status
2026-03-31,Uber,54.46,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-31,Uber,37.4,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-30,Dialpad,56,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-30,Uber,55.38,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-30,Uber,49.65,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-30,Uber,41.55,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-30,Uber,29.91,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-30,NAB,24.05,,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-30,Uber,18.31,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-30,Uber,17.57,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-30,Uber,16.53,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-30,Uber,16.05,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-30,Uber,15.79,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-30,Uber,14.79,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-30,Uber,13.44,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-30,Uber,12.39,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-30,Uber,7.57,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-30,NAB,4.68,,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-30,NAB,4.54,,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-30,NAB,1.96,,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-30,NAB,1.94,,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-30,NAB,1.74,,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-30,NAB,0.64,,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-30,NAB,0.61,,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-30,NAB,0.58,,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-30,NAB,0.56,,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-30,NAB,0.55,,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-30,NAB,0.52,,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-30,NAB,0.47,,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-30,NAB,0.43,,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-30,NAB,0.26,,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-30,NAB,0.03,,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-27,Uber,51.05,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-27,Webflow,38.41,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-27,Uber,17.84,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-27,Uber,9.17,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-27,NAB,1.34,ACT-HQ,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-27,NAB,0.62,ACT-HQ,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-27,NAB,0.32,ACT-HQ,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-26,NAB,17.5,ACT-HQ,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-26,Audible,16.45,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-26,Uber,9,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-26,NAB,0.32,ACT-HQ,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-25,Uber,49.96,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-25,NAB,4.59,ACT-HQ,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-25,NAB,4.25,ACT-HQ,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-25,NAB,3.47,ACT-HQ,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-25,NAB,2.48,ACT-HQ,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-25,NAB,0.78,ACT-HQ,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-24,Qantas,325.97,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-24,HighLevel,138.51,ACT-IN,ACT-ST,NAB Visa ACT #8815,true,true,false,,AUTHORISED
2026-03-24,Uber,70.06,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-24,Railway Corporation,7.24,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-24,Smarte Carte,5,ACT-SM,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-24,NAB,4.85,ACT-HQ,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-24,NAB,2.19,ACT-HQ,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-24,NAB,0.25,ACT-HQ,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-23,Qantas,449.03,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-23,NAB,137.15,ACT-HQ,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-23,Webflow,45.55,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-23,Vercel,21.42,ACT-IN,ACT-ST,NAB Visa ACT #8815,true,true,false,,AUTHORISED
2026-03-23,Squarespace,11.8,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-23,NAB,6.77,ACT-HQ,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-23,NAB,5.08,ACT-HQ,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-23,NAB,5.08,ACT-HQ,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-23,NAB,4.36,ACT-HQ,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-23,NAB,3.58,ACT-HQ,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-23,NAB,1.59,ACT-HQ,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-23,NAB,1,ACT-HQ,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-23,NAB,0.75,ACT-HQ,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-23,NAB,0.41,ACT-HQ,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-19,Budget,22.79,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-03-19,NAB,0.52,ACT-HQ,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-18,Uber,62.68,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-03-18,Uber,57.77,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-03-18,Uber,41.36,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-03-18,NAB,0.99,ACT-HQ,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-17,Qantas,1916.01,ACT-IN,ACT-ST,NAB Visa ACT #8815,true,true,true,core,AUTHORISED
2026-03-17,Qantas,1916.01,ACT-IN,ACT-ST,NAB Visa ACT #8815,true,true,true,core,AUTHORISED
2026-03-17,Uber,44.56,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-03-16,Qantas,305.05,ACT-IN,ACT-ST,NAB Visa ACT #8815,true,true,true,core,AUTHORISED
2026-03-16,Qantas,305.05,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-03-16,Xero,75,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-03-16,Webflow,66.22,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-03-16,Uber,34.53,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-03-16,Vercel,31.52,ACT-IN,ACT-ST,NAB Visa ACT #8815,true,true,true,core,AUTHORISED
2026-03-16,NAB,2.32,ACT-HQ,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-16,NAB,1.1,ACT-HQ,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-16,NAB,0.25,ACT-HQ,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-13,Uber,42.38,ACT-IN,ACT-ST,NAB Visa ACT #8815,true,true,true,core,AUTHORISED
2026-03-13,Codeguide,40.78,ACT-IN,ACT-ST,NAB Visa ACT #8815,true,true,true,core,AUTHORISED
2026-03-13,Firecrawl,13.36,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-03-13,NAB,1.43,ACT-HQ,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-13,NAB,0.47,ACT-HQ,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-11,Avis,483.6,ACT-GD,ACT-ST,NAB Visa ACT #8815,true,false,true,supporting,AUTHORISED
2026-03-11,Telstra,180,ACT-GP,ACT-ST,NAB Visa ACT #8815,true,false,false,,AUTHORISED
2026-03-11,OpenAI,10,ACT-IN,ACT-ST,NAB Visa ACT #8815,true,false,true,core,AUTHORISED
2026-03-10,Fisher's Oysters,1120,ACT-IN,ACT-ST,NAB Visa ACT #8815,true,true,true,core,AUTHORISED
2026-03-10,Anthropic,9.46,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-03-10,NAB,2.66,ACT-HQ,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
