project_code,date,contact_name,total,has_attachments,rd_category,bank_account
ACT-EL,2026-02-08,The Banhmi House,33.5,true,core,NAB Visa ACT #8815
ACT-EL,2026-01-26,7-Eleven,11.5,true,core,NAB Visa ACT #8815
ACT-EL,2026-01-25,Complete Entertainment eXchange,540,true,core,NAB Visa ACT #8815
ACT-GD,2026-03-11,Avis,483.6,true,supporting,NAB Visa ACT #8815
ACT-GD,2026-02-07,F V Snowdon And J R Rowden,39.8,true,supporting,NAB Visa ACT #8815
ACT-GD,2026-02-06,BP,161.9,false,supporting,NAB Visa ACT #8815
ACT-GD,2026-02-06,Esmay,306,true,supporting,NAB Visa ACT #8815
ACT-GD,2026-02-05,Taxi Receipt,51.44,true,supporting,NAB Visa ACT #8815
ACT-GD,2026-02-04,Thrifty,866.42,true,supporting,NAB Visa ACT #8815
ACT-GD,2026-02-04,BP,161.9,true,supporting,NAB Visa ACT #8815
ACT-GD,2026-02-04,BP,125.7,true,supporting,NAB Visa ACT #8815
ACT-GD,2026-02-03,Northern Territory Government,1459.25,true,supporting,NAB Visa ACT #8815
ACT-GD,2026-02-03,Devils Marbles Hotel,87.94,true,supporting,NAB Visa ACT #8815
ACT-GD,2026-02-03,Ti Tree Farm Garden,103.76,true,supporting,NAB Visa ACT #8815
ACT-GD,2026-01-31,Shell,106.49,true,supporting,NAB Visa ACT #8815
ACT-GD,2026-01-26,IGA,366.58,true,supporting,NAB Visa ACT #8815
ACT-GD,2026-01-26,Woolworths,124.89,true,supporting,NAB Visa ACT #8815
ACT-GD,2026-01-24,Liberty Maleny,323.67,true,supporting,NAB Visa ACT #8815
ACT-GD,2026-01-14,RW Pacific Traders,2000,true,supporting,NAB Visa ACT #8815
ACT-IN,2026-03-31,Uber,54.46,false,,NAB Visa ACT #8815
ACT-IN,2026-03-31,Uber,37.4,false,,NAB Visa ACT #8815
ACT-IN,2026-03-30,Uber,29.91,false,,NAB Visa ACT #8815
ACT-IN,2026-03-30,Uber,55.38,false,,NAB Visa ACT #8815
ACT-IN,2026-03-30,Uber,13.44,false,,NAB Visa ACT #8815
ACT-IN,2026-03-30,Uber,18.31,false,,NAB Visa ACT #8815
ACT-IN,2026-03-30,Uber,16.53,false,,NAB Visa ACT #8815
ACT-IN,2026-03-30,Uber,12.39,false,,NAB Visa ACT #8815
ACT-IN,2026-03-30,Dialpad,56,false,,NAB Visa ACT #8815
ACT-IN,2026-03-30,Uber,41.55,false,,NAB Visa ACT #8815
ACT-IN,2026-03-30,Uber,17.57,false,,NAB Visa ACT #8815
ACT-IN,2026-03-30,Uber,49.65,false,,NAB Visa ACT #8815
ACT-IN,2026-03-30,Uber,15.79,false,,NAB Visa ACT #8815
ACT-IN,2026-03-30,Uber,14.79,false,,NAB Visa ACT #8815
ACT-IN,2026-03-30,Uber,7.57,false,,NAB Visa ACT #8815
ACT-IN,2026-03-30,Uber,16.05,false,,NAB Visa ACT #8815
ACT-IN,2026-03-27,Uber,9.17,false,,NAB Visa ACT #8815
