receipt_id,date,supplier,invoice_number,amount_aud,tax_aud,category,project,status,file_found,local_file,image
20520325070,2026-05-12,Bunnings Warehouse,007-11588-8176-2026-05-12,59.82,5.44,446 - Materials & Supplies,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/Bunnings Warehouse - 2026-05-12 - 007-11588-8176-2026-05-12.pdf,https://rbnk.me/i/09xEaMRGphg
20503634120,2026-05-11,Dext Software,2237636,42,0,485 - Subscriptions,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/Dext Software - 2026-05-11 - 2237636.pdf,https://rbnk.me/i/CCfmC-dAalM
20479945790,2026-05-07,Kennedy's,05260023,4031.5,366.5,446 - Materials & Supplies,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/Kennedy's - 2026-05-07 - 05260023.pdf,https://rbnk.me/i/5ri_t02sxbM
20472047750,2026-05-05,RealtimeBoard,2KC0ES3B-0003,1182.62,107.51,485 - Subscriptions,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/RealtimeBoard - 2026-05-05 - 2KC0ES3B-0003.pdf,https://rbnk.me/i/807nVZBJZNw
20462642180,2026-05-05,Sophie Deirdre Hickey,000121,65,0,486 - Sub-contractors,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/Sophie Deirdre Hickey - 2026-05-05 - 000121.pdf,https://rbnk.me/i/093_9Wp1fsY
20456459060,2026-05-06,Joseph Kirmos,INV-007,4500,0,486 - Sub-contractors,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/Joseph Kirmos - 2026-05-06 - INV-007.pdf,https://rbnk.me/i/5tWxK1jTDD0
20455881890,2026-05-05,Shipstation,019df72a-2044-7805-bfeb-837259542dac,214.9,0,,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/Shipstation - 2026-05-05 - 019df72a-2044-7805-bfeb-837259542dac.pdf,https://rbnk.me/i/R5Kack8BzKI
20455881800,2026-05-05,Shipstation,019df72b-9e70-7583-b87a-77242ad2ae79,15.39,0,,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/Shipstation - 2026-05-05 - 019df72b-9e70-7583-b87a-77242ad2ae79.pdf,https://rbnk.me/i/Lc1Zb5gKOFc
20455836500,2026-05-05,Bunnings Warehouse,8056/99845995,310.32,28.21,446 - Materials & Supplies,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/Bunnings Warehouse - 2026-05-05 - 805699845995.pdf,https://rbnk.me/i/NnD69O_hpU0
20427766590,2026-05-04,Maleny Hardware And Rural Supplies,208464,76,6.91,446 - Materials & Supplies,Farm Activities,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/Maleny Hardware And Rural Supplies - 2026-05-04 - 208464.pdf,https://rbnk.me/i/QDLxJj1I_3M
20423645630,2026-05-03,Department of Transport and Main Roads,,1071.2,0,450 - MV - Registration & Insurance,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/Department of Transport and Main Roads - 2026-05-03 - 20423645630.pdf,https://rbnk.me/i/xQ-x1pJLQ8E
20423640490,2026-04-28,Longara,00081315,3095,65,493 - Travel - National,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/Longara - 2026-04-28 - 00081315.pdf,https://rbnk.me/i/7dO-OzVZf2g
20423637850,2026-04-30,Google Australia,5555052350,67.98,6.18,485 - Subscriptions,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/Google Australia - 2026-04-30 - 5555052350.pdf,https://rbnk.me/i/4NKOVK5CoUU
20422794890,2026-05-02,STARLINK INTERNET SERVICES,INV-DF-AUS-12570933-75294-69,108,9.82,489 - Telephone & Internet,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/STARLINK INTERNET SERVICES - 2026-05-02 - INV-DF-AUS-12570933-75294-69.pdf,https://rbnk.me/i/h39zseL4BxU
20420226420,2026-05-02,Bunnings Warehouse,,427.88,38.9,446 - Materials & Supplies,A Curious Tractor,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/Bunnings Warehouse - 2026-05-02 - 20420226420.jpg,https://rbnk.me/i/sl4wdyIgsJE
20409812320,2026-05-01,Bunnings Warehouse,W284861346,310.32,28.21,446 - Materials & Supplies,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/Bunnings Warehouse - 2026-05-01 - W284861346.pdf,https://rbnk.me/i/8UNdo_VbdPk
20409778030,2026-04-30,Maleny Hardware And Rural Supplies,,902.85,82.08,446 - Materials & Supplies,Farm Activities,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/Maleny Hardware And Rural Supplies - 2026-04-30 - 20409778030.pdf,https://rbnk.me/i/c7UjVDNXFDM
20394922750,2026-04-29,Supabase,WSHNYD-00023,13.98,0,485 - Subscriptions,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/Supabase - 2026-04-29 - WSHNYD-00023 (2).pdf,https://rbnk.me/i/7-1-wwo_rps
20394922730,2026-04-29,Supabase,WSHNYD-00023,13.98,0,485 - Subscriptions,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/Supabase - 2026-04-29 - WSHNYD-00023 (2).pdf,https://rbnk.me/i/pm2jWJCr2bg
20394796020,2026-04-27,Sophie Deirdre Hickey,000116,317,0,486 - Sub-contractors,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/Sophie Deirdre Hickey - 2026-04-27 - 000116.pdf,https://rbnk.me/i/tNInaKPiXXs
20383392160,2026-04-29,Bionic Group,,3320,0,710 - Office Equipment,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/Bionic Group - 2026-04-29 - 20383392160.pdf,https://rbnk.me/i/9eb3EGLOXqA
20383124190,2026-04-29,Bionic Self Storage,INV-5377,3320,301.82,750 - Plant & Equipment,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/Bionic Self Storage - 2026-04-29 - INV-5377.pdf,https://rbnk.me/i/dyrYtkavBds
20383123280,2026-04-29,Maleny Hardware And Rural Supplies,207658,77.7,7.06,446 - Materials & Supplies,Farm Activities,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/Maleny Hardware And Rural Supplies - 2026-04-29 - 207658.pdf,https://rbnk.me/i/W519wGNLqLU
20369675680,2026-04-24,Kennedy's,04260061,8594.91,781.36,446 - Materials & Supplies,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/Kennedy's - 2026-04-24 - 04260061 (2).pdf,https://rbnk.me/i/c3eLbnCmCrg
20369653040,2026-04-27,Maleny Hardware And Rural Supplies,207139,266.95,24.27,446 - Materials & Supplies,Farm Activities,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/Maleny Hardware And Rural Supplies - 2026-04-27 - 207139.pdf,https://rbnk.me/i/vOeyt69KXBE
20354696990,2026-04-24,Kennedy's,04260061,8525,775,446 - Materials & Supplies,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/Kennedy's - 2026-04-24 - 04260061 (2).pdf,https://rbnk.me/i/EPSOz9YzWUI
