category,quarter,date,payee,particulars,amount,candidate_source,candidate_vendor,candidate_date,xero_invoice_id,xero_bank_transaction_id,xero_payment_id,xero_payment_amount,xero_payment_reconciled,xero_transaction_reconciled,note
invoice_payment_amount_mismatch,Q2,2025-12-12,Bunnings,BUNNINGS 634000 MINCHINBURY,548.81,dext_receipt,Bunnings Warehouse,2025-12-09,31dfbeff-856b-4219-ae67-eed06d0db107,,54f3c9c5-6508-417b-832f-c2212f8b24fe,44.96,true,,
invoice_payment_amount_mismatch,Q2,2025-12-03,Good Morning Coffee,Good Morning Coffee Tr Townsville,138.20,dext_receipt,Hermit Park - Good Morning Coffee,2025-12-01,154e3769-9c43-416b-9d44-9e987e8e29c4,,59ad9307-6c49-49c9-bc0d-b25303475dfd,48.17,true,,
invoice_payment_amount_mismatch,Q2,2025-11-11,BP ALICE SPRINGS 1104 ALICE SPRINGS,BP ALICE SPRINGS 1104 ALICE SPRINGS,110.94,dext_receipt,BP,2025-11-08,df4c42ee-7e58-4a00-af14-ca8db75cc0df,,fd8c09f9-4dc9-4386-a7b4-5be2ec37d730,165.02,true,,
invoice_no_reconciled_payment,Q2,2025-12-24,Telford Smith Engine,TELFORD SMITH ENGINE DANDENONG SOU,19800.00,dext_receipt,Telford Smith Engineering,2025-12-22,f47c47b4-8df4-4b04-8dea-5476f913ab67,,,,,,
invoice_no_reconciled_payment,Q2,2025-12-01,Airbnb,AIRBNB * HMFNBDYS2D SURRY HILLS,4621.18,dext_receipt,Airbnb,2025-11-26,07b3769d-b355-426c-b02d-7ae3f954ebd9,,,,,,
invoice_no_reconciled_payment,Q2,2025-12-15,Budget Rent A Car,BUDGET RENT A CAR MASCOT,177.36,dext_receipt,Budget,2025-12-08,d247eaaa-8999-43ad-96f6-3efee0c79625,,,,,,
invoice_no_reconciled_payment,Q3,2026-03-27,MALENY HARDWARE AND RURALMALENY,MALENY HARDWARE AND RURALMALENY,113.40,dext_receipt,MALENY HARDWARE & RU,2026-03-26,3152ed63-6bdf-4d2a-a37d-745e3e154741,,,,,,
bank_transaction_duplicate_target,Q2,2025-12-04,Bunnings,BUNNINGS 416000 GARBUTT,2885.90,dext_receipt,Bunnings Warehouse,2025-11-30,,aad2ce47-726d-4cb0-ac54-96489bb9f01b,,,,false,
bank_transaction_duplicate_target,Q2,2025-12-03,Bunnings,BUNNINGS 399000 BURDELL,632.52,dext_receipt,Bunnings Warehouse,2025-11-29,,aad2ce47-726d-4cb0-ac54-96489bb9f01b,,,,false,
bank_transaction_duplicate_target,Q2,2025-12-04,Bunnings,BUNNINGS 416000 GARBUTT,131.58,dext_receipt,Bunnings Warehouse,2025-11-30,,aad2ce47-726d-4cb0-ac54-96489bb9f01b,,,,false,
no_xero_target,Q2,2025-12-01,Kennards Hire,KENNARDS HIRE HO QLD SEVEN HILLS,3745.00,dext_receipt,Kennards Hire,2025-12-03,,,,,,,
no_xero_target,Q2,2025-12-24,Defy Design,DEFYDESIGN.ORG SYDNEY,3598.09,dext_receipt,Defy,2025-12-23,,,,,,,
no_xero_target,Q2,2025-12-23,Bank St + Co,Bank St + Co Port Fairy,67.70,dext_receipt,BANK ST AND CO,2025-12-22,,,,,,,
no_xero_target,Q2,2025-12-04,Liberty,LIBERTY IDALIA IDALIA,61.42,dext_receipt,Liberty Idalia,2025-12-03,,,,,,,
no_xero_target,Q2,2025-12-02,Good Morning Coffee,Good Morning Coffee Tr Townsville,55.96,dext_receipt,Hermit Park - Good Morning Coffee,2025-12-01,,,,,,,
no_xero_target,Q2,2025-12-17,Duyu Coffee Roasters,SQ *DUYU COFFEE ROASTERS Ciccone,22.26,dext_receipt,DuYu Coffee,2025-12-16,,,,,,,
no_xero_target,Q3,2026-01-21,Sunshine Coast Regiona Sunshine Coast,Sunshine Coast Regiona Sunshine Coast,1738.03,dext_receipt,Sunshine Coast Council,2026-01-20,,,,,,,
no_xero_target,Q3,2026-01-13,AGL,HYDRAULINK BRISBANE EAGLE FARM,883.07,dext_receipt,Hydraulink Brisbane North,2026-01-12,,,,,,,
no_xero_target,Q3,2026-01-08,MALENY HARDWARE AND RURALMALENY,MALENY HARDWARE AND RURALMALENY,507.51,dext_receipt,Maleny Hardware And Rural Supplies,2026-01-07,,,,,,,
no_xero_target,Q3,2026-02-03,TI TREE RH 9787 TI TREE,TI TREE RH 9787 TI TREE,133.02,dext_receipt,Ti Tree Roadhouse,2026-02-02,,,,,,,
no_xero_target,Q3,2026-01-22,MALTEK PTY. LTD. DERRIMUT,MALTEK PTY. LTD. DERRIMUT,119.00,dext_receipt,The Trustee For Maltek Trust,2026-01-21,,,,,,,
no_xero_target,Q3,2026-03-25,RESTAVRACIJA JASNA KRANJSKA GORA,RESTAVRACIJA JASNA KRANJSKA GORA,22.28,dext_receipt,JASNA CHALET RESORT,2026-03-24,,,,,,,
