source,source_record_id,vendor_name,amount_total,document_date,received_at,status,attachment_filename,xero_transaction_id,xero_invoice_id
manual_upload,manual:7fc23639-e923-4de2-98f1-f98447db5174:1778843777650:virgin-australia-2025-10-22-385-79.pdf,Virgin Australia,385.79,2025-10-22,,approved,virgin-australia-2025-10-22-385-79.pdf,,
manual_upload,manual:unlinked:1778844470331:starlink-2026-05-02-108.pdf,STARLINK INTERNET SERVICES,108,2026-05-02,,candidate,starlink-2026-05-02-108.pdf,,
xero_transaction,0a34ed3b-5873-4729-8c62-cd5f077852df,Qantas,329.22,2026-03-04,,linked_in_xero,,,
dext_receipt,1958727d-fb37-4cd7-bf4e-dd044ed8d706,Nicholas Marchesi,,2025-08-14,,candidate,Nicholas Marchesi - 2025-08-14 - INV-0264.pdf,d2b482bd-0b80-45eb-a1c7-5bf61111ff8d,
manual_upload,manual:10c4b59d-52bd-4a1d-92c0-2a223db6c2df:1778844470322:starlink-2026-03-02-108.pdf,STARLINK INTERNET SERVICES,108,2026-03-02,,approved,starlink-2026-03-02-108.pdf,,
xero_bill,c0247033-9470-4258-a013-8f88b2a7d4ef,Qantas,572.08,2025-09-03,,linked_in_xero,,,c0247033-9470-4258-a013-8f88b2a7d4ef
manual_upload,manual:unlinked:1778844470331:starlink-2026-04-02-108.pdf,STARLINK INTERNET SERVICES,108,2026-04-02,,candidate,starlink-2026-04-02-108.pdf,,
dext_receipt,20247673180,Unknown Supplier,130.94,2026-04-16,2026-04-15T14:00:00+00:00,candidate,Unknown Supplier - 2026-04-16 - 20247673180.jpg,,
manual_upload,manual:unlinked:1778844470331:standard-ledger-2026-05-04-1381.pdf,Standard Ledger Pty Ltd,1381,2026-05-04,,candidate,standard-ledger-2026-05-04-1381.pdf,,
dext_receipt,20193951660,Dext Software,42,2026-04-11,2026-04-10T14:00:00+00:00,candidate,Dext Software - 2026-04-11 - 2203342.pdf,,
receipt_email,e0ddd85a-0b1d-4840-b9c2-c55aaeb73528,Taxi Receipt,31.4,2025-11-11,2025-11-11T14:00:00+00:00,candidate,Taxi-Receipt-receipt.pdf,,cc3e4f15-da41-4e95-a494-fb7bd5c3b2e1
receipt_email,eeb4fdf0-ef57-4233-b1e8-c1e99b84d008,Uber,96.69,2026-02-15,2026-02-15T14:00:00+00:00,candidate,Uber-receipt.pdf,,c58f326a-148b-49b8-b278-92e8aa2f9715
dext_receipt,95e63340-674b-4339-99b2-271e971327b5,Devils Marbles Hotel,87.94,2026-02-02,2026-02-02T14:00:00+00:00,uploaded_to_xero,Devils-Marbles-Hotel-receipt.jpg,,
xero_bill,eaecb715-f1fc-4126-9a38-3e1832b0e682,Sydney Tools,217.95,2025-09-13,,linked_in_xero,,,eaecb715-f1fc-4126-9a38-3e1832b0e682
dext_receipt,20079689740,Defy Manufacturing,18922.75,2026-03-27,2026-03-26T14:00:00+00:00,candidate,Defy Manufacturing - 2026-03-27 - INV-1732.pdf,,
dext_receipt,7775fba9-0225-4de9-a085-fed25e2d3e3a,Unknown Supplier,,2026-01-14,,candidate,2026-01-14 - 35854.pdf,,
dext_receipt,2FBD9E4O-0001,Easel Software,,2026-01-27,,matched,Easel Software - 2026-01-27 - 2FBD9E4O-0001.pdf,c1d196a5-ab3b-4380-8a17-a6103dcf56d0,
dext_receipt,19874950410,Uber,42.79,2025-10-25,2025-10-24T14:00:00+00:00,candidate,Uber - 2025-10-25 - 19874950410.pdf,,
dext_receipt,19874917170,AGL,362.83,2026-03-04,2026-03-03T14:00:00+00:00,candidate,AGL - 2026-03-04 - 19874917170.pdf,,
dext_receipt,76132176–1,Thrifty,,2026-01-30,,candidate,Thrifty - 2026-01-30 - 76132176–1.pdf,,
dext_receipt,176295,Maleny Hardware And Rural Supplies,,2025-11-04,,candidate,Maleny Hardware And Rural Supplies - 2025-11-04 - 176295.pdf,,
receipt_email,b0ddba52-3c06-4a76-874b-891fe68116b6,Eldo Hotel Woomera,155,2025-09-13,2025-09-13T14:00:00+00:00,candidate,Eldo-Hotel-Woomera-receipt.pdf,,9dab4bce-d3f3-4b17-8f99-75c1d71a9f4c
receipt_email,fc5f2b92-5120-45eb-8e5b-4e2a6820c235,Uber,15.8,2025-09-14,2025-09-14T14:00:00+00:00,candidate,Uber-receipt.pdf,d051be6c-c3d4-4163-b686-d201077dba8b,
dext_receipt,20105145170,Google Australia,67.98,2026-03-31,2026-03-30T14:00:00+00:00,candidate,Google Australia - 2026-03-31 - 5527551908.pdf,,
receipt_email,5eb64edd-92ce-4e0a-b9ff-eed8b1bc07c7,Imprint5,2588,2026-02-17,2026-02-17T14:00:00+00:00,candidate,Imprint5-receipt.pdf,,29ba8bb4-656a-4f30-874b-4779a9148a79
dext_receipt,d4946716-6dc5-45d9-868b-07670fe8ecdf,Defy Manufacturing,2640,2025-08-19,2025-08-19T14:00:00+00:00,uploaded_to_xero,Defy-Manufacturing-receipt.pdf,,e8d54949-4559-4671-a84a-59aab5cfdd92
dext_receipt,381219,Total Tools East Brisbane,,2026-01-05,,candidate,Total Tools East Brisbane - 2026-01-05 - 381219.pdf,,
dext_receipt,822009311345,Bunnings Warehouse,,2026-01-12,,candidate,Bunnings Warehouse - 2026-01-12 - 822009311345.jpg,,
xero_bill,4912fa8d-2030-4153-a80c-db48ce4b30b1,Repco,384,2025-09-13,,linked_in_xero,,,4912fa8d-2030-4153-a80c-db48ce4b30b1
dext_receipt,0c5c6a70-b15e-444f-ae8e-5b4722f9d0ff,Adobe Systems Software,35.99,2026-02-19,2026-02-19T14:00:00+00:00,uploaded_to_xero,Adobe-Systems-Software-receipt.pdf,,a7206c7a-ea06-491a-86ea-f7c338ba7fc9
dext_receipt,20076508940,A Curious Tractor,10000,2026-03-31,2026-03-30T14:00:00+00:00,candidate,A Curious Tractor - 2026-03-31 - 20076508940.pdf,,
dext_receipt,20031797260,Maleny Hardware And Rural Supplies,113.4,2026-03-26,2026-03-25T14:00:00+00:00,candidate,Maleny Hardware And Rural Supplies - 2026-03-26 - 201316.jpg,,
dext_receipt,8239aea6-31c0-4b97-beca-36966f10c27a,Joseph Kirmos,,2025-12-04,,candidate,Joseph Kirmos - 2025-12-04 - 18892626420.pdf,,
dext_receipt,7088 8347 8894 1076 0988,AGL,,2026-01-06,,candidate,AGL - 2026-01-06 - 7088 8347 8894 1076 0988.pdf,,
xero_bill,41fab793-2a20-4e1b-a78a-9cf0793c6e87,Virgin Australia,970.51,2025-09-09,,linked_in_xero,,,41fab793-2a20-4e1b-a78a-9cf0793c6e87
xero_bill,df4c42ee-7e58-4a00-af14-ca8db75cc0df,BP,165.02,2025-11-02,,linked_in_xero,,,df4c42ee-7e58-4a00-af14-ca8db75cc0df
dext_receipt,19987762250,Vercel,21.29,2026-03-21,2026-03-20T14:00:00+00:00,candidate,Vercel - 2026-03-21 - 6FDD0732-0007.pdf,,
xero_bill,72cfcfb4-1c7b-4eb6-9673-405649b8eeb3,Super Rack,1380,2025-09-25,,linked_in_xero,,,72cfcfb4-1c7b-4eb6-9673-405649b8eeb3
receipt_email,033032dc-f245-4979-b7e3-f7eb1bda496e,Qantas,788.3,2025-09-02,2025-09-02T14:00:00+00:00,candidate,Qantas-receipt.pdf,,4f50f1a7-5343-4b6f-ba25-0a2407bff7ce
dext_receipt,19975432840,Defy Manufacturing,199.43,2026-03-19,2026-03-18T14:00:00+00:00,candidate,Defy Manufacturing - 2026-03-19 - INV-1710.pdf,,
dext_receipt,20423645630,Department of Transport and Main Roads,1071.2,2026-05-03,2026-05-02T14:00:00+00:00,candidate,Department of Transport and Main Roads - 2026-05-03 - 20423645630.pdf,,
dext_receipt,20296838070,DNP Australia,4063.89,2026-04-14,2026-04-13T14:00:00+00:00,candidate,DNP Australia - 2026-04-14 - 97608.pdf,,
dext_receipt,20246819560,Defy Manufacturing,5130.95,2026-04-15,2026-04-14T14:00:00+00:00,candidate,Defy Manufacturing - 2026-04-15 - INV-1758.pdf,,
dext_receipt,05ce557a-b2c3-4bff-bb8f-3ca5d3d9b6ec,Imprint5,1044,2026-03-10,2026-03-10T14:00:00+00:00,uploaded_to_xero,receipt.pdf,,ba2fc72e-6084-413f-be46-aaf1b36ef13c
dext_receipt,20030765150,Sagittarius Doo,498.92,2026-03-25,2026-03-24T14:00:00+00:00,candidate,Sagittarius Doo - 2026-03-25 - 011351.jpg,,
dext_receipt,19996571610,BOB BROWN FOUNDATION,600,2026-03-23,2026-03-22T14:00:00+00:00,candidate,BOB BROWN FOUNDATION - 2026-03-23 - 242106.pdf,,
xero_transaction,534ff5e5-fba9-4be6-b489-b86a06ec842a,IGA,366.58,2026-01-26,,linked_in_xero,,,
dext_receipt,19879090210,Dext Software,28,2026-03-11,2026-03-10T14:00:00+00:00,candidate,Dext Software - 2026-03-11 - 2168045.pdf,,
dext_receipt,19874952000,Uber,42.55,2025-10-23,2025-10-22T14:00:00+00:00,candidate,Uber - 2025-10-23 - 19874858000.pdf,,
dext_receipt,20423640490,Longara,3095,2026-04-28,2026-04-27T14:00:00+00:00,candidate,Longara - 2026-04-28 - 00081315.pdf,,
dext_receipt,20369675680,Kennedy's,8594.91,2026-04-24,2026-04-23T14:00:00+00:00,candidate,Kennedy's - 2026-04-24 - 04260061 (2).pdf,,
dext_receipt,20354581620,Railway Corporation,7,2026-04-23,2026-04-22T14:00:00+00:00,candidate,Railway Corporation - 2026-04-23 - PADMUZCI-0011.pdf,,
dext_receipt,20325999080,MALENY LANDSCAPING SUPPLIES,890.1,2026-04-22,2026-04-21T14:00:00+00:00,candidate,MALENY LANDSCAPING SUPPLIES - 2026-04-22 - 124734.pdf,,
receipt_email,90933c09-d3dc-4b8e-b057-88db20cfe614,Bornga - Sydney,81.4,2026-01-03,2026-01-03T14:00:00+00:00,candidate,Bornga---Sydney-receipt.jpg,,0ba8288e-37dd-4926-8f43-e13c9ddef177
dext_receipt,19874922700,RNM CARPENTRY,26845.65,2025-11-11,2025-11-10T14:00:00+00:00,candidate,RNM CARPENTRY - 2025-11-11 - INV-0146.pdf,,
dext_receipt,19874858000,Uber,22.5,2025-10-23,2025-10-22T14:00:00+00:00,candidate,Uber - 2025-10-23 - 19874858000.pdf,,
xero_bill,e3c7356e-4c12-4d17-815d-2a9cb667e0c6,WizBang Technologies,5.08,2025-11-08,,linked_in_xero,,,e3c7356e-4c12-4d17-815d-2a9cb667e0c6
dext_receipt,19450135920,Centre Canvas And Upholstery,4715,2026-01-30,2026-01-29T14:00:00+00:00,candidate,Centre Canvas And Upholstery - 2026-01-30 - 6.jpg,,
dext_receipt,19302006890,Liberty Maleny,367.69,2026-01-16,2026-01-15T14:00:00+00:00,candidate,Liberty Maleny - 2026-01-16 - 746086-6.jpg,,
dext_receipt,20423637850,Google Australia,67.98,2026-04-30,2026-04-29T14:00:00+00:00,candidate,Google Australia - 2026-04-30 - 5555052350.pdf,,
receipt_email,e4fe231b-b34d-4f40-8d19-33f1d1754e10,KWIK SHOP ON PALMER ST.,12.6,2026-02-15,2026-02-15T14:00:00+00:00,candidate,KWIK-SHOP-ON-PALMER-ST--receipt.jpg,,9518a7f8-cd27-4be3-85b6-061257da4b50
dext_receipt,20341875610,Maleny Hotel,51.51,2026-04-24,2026-04-23T14:00:00+00:00,candidate,Maleny Hotel - 2026-04-24 - 967677.jpg,,
dext_receipt,19874863510,Qantas,688.2,2025-10-01,2025-09-30T14:00:00+00:00,candidate,Qantas - 2025-10-01 - 19874863510.pdf,,
dext_receipt,19992992790,Holafly,145.53,2026-03-23,2026-03-22T14:00:00+00:00,candidate,Holafly - 2026-03-23 - E21434621.pdf,,
dext_receipt,19874881960,Virgin Australia,411,2026-03-11,2026-03-10T14:00:00+00:00,candidate,Virgin Australia - 2026-03-11 - 18067925.pdf,,
xero_bill,840cd9fe-0345-4cdf-89ad-3da62d00a636,COOLGAREE CAT,155.94,2025-09-28,,linked_in_xero,,,840cd9fe-0345-4cdf-89ad-3da62d00a636
receipt_email,0ce4f510-f100-43ef-b5dc-6146db974c21,Nest In Witta,17.85,2026-03-03,2026-03-03T14:00:00+00:00,candidate,Nest-In-Witta-receipt.jpg,,d8b0b41d-79ac-43f5-aed2-14c86c822c31
xero_transaction,4e75715a-a900-4aff-867b-1964848a488d,HighLevel,35.81,2026-03-06,,linked_in_xero,,,
dext_receipt,19874862380,Qantas,412,2025-10-12,2025-10-11T14:00:00+00:00,candidate,Qantas - 2025-10-12 - 081-2377464425.pdf,,
dext_receipt,19874861780,Uber,18.47,2025-10-15,2025-10-14T14:00:00+00:00,candidate,Uber - 2025-10-15 - 19874861780.pdf,,
receipt_email,0506e9e5-cb4a-4219-8749-30eb7148893f,Vercel Inc.,21.99,2026-03-16,2026-03-16T12:00:00+00:00,candidate,receipt.pdf,78be7834-da2c-4373-b4e1-f380b671b594,
dext_receipt,19874861300,Qantas,355.2,2025-10-19,2025-10-18T14:00:00+00:00,candidate,Qantas - 2025-10-19 - 081-2377789889.pdf,,
dext_receipt,19874857360,Qantas,283.29,2025-10-27,2025-10-26T14:00:00+00:00,candidate,Qantas - 2025-10-27 - 081-2378185212.pdf,,
dext_receipt,20420226420,Bunnings Warehouse,427.88,2026-05-02,2026-05-01T14:00:00+00:00,candidate,Bunnings Warehouse - 2026-05-02 - 20420226420.jpg,,
dext_receipt,20053536690,Bolt Co,70.4,2026-03-27,2026-03-26T14:00:00+00:00,candidate,Bolt Co - 2026-03-27 - 87543.jpg,,
receipt_email,6ffbb413-ab34-4465-a237-4ae995656ecd,Telstra,0,2026-03-10,2026-03-10T14:00:00+00:00,candidate,Telstra-receipt.pdf,19da926f-4a68-4167-9cc2-b4ff590a40b0,
dext_receipt,20012811660,JASNA CHALET RESORT,22.28,2026-03-24,2026-03-23T14:00:00+00:00,candidate,JASNA CHALET RESORT - 2026-03-24 - 6689.jpg,,
dext_receipt,19975669360,Sophie Deirdre Hickey,1140,2026-03-17,2026-03-16T14:00:00+00:00,candidate,Sophie Deirdre Hickey - 2026-03-17 - 000111.pdf,,
dext_receipt,19888532230,ePrint,664.5,2026-03-12,2026-03-11T14:00:00+00:00,candidate,ePrint - 2026-03-12 - 26251.pdf,,
dext_receipt,19874962200,SQUARESPACE,22,2026-03-11,2026-03-10T14:00:00+00:00,candidate,SQUARESPACE - 2026-03-11 - 19874960190.pdf,,
dext_receipt,19874951760,Uber,44.08,2025-10-24,2025-10-23T14:00:00+00:00,candidate,Uber - 2025-10-24 - 19874857840.pdf,,
dext_receipt,19874935350,Uber,40.38,2026-03-11,2026-03-10T14:00:00+00:00,candidate,Uber - 2026-03-11 - 19874820270.pdf,,
dext_receipt,da19bdca-6640-424e-b296-b32c4be3305c,BP,,2025-11-09,,candidate,BP - 2025-11-09 - 60667.jpg,,
receipt_email,6fcc75f1-f195-4951-b966-49a79560e3bf,Uber,17.77,2025-12-16,2025-12-16T20:25:39+00:00,uploaded_to_xero,Benjamin welcome to Townsville-4f23ca33.eml,,
dext_receipt,20383124190,Bionic Self Storage,3320,2026-04-29,2026-04-28T14:00:00+00:00,candidate,Bionic Self Storage - 2026-04-29 - INV-5377.pdf,,
dext_receipt,20295605600,Avis,8.35,2026-04-11,2026-04-10T14:00:00+00:00,candidate,Avis - 2026-04-11 - SI1030816.pdf,,
xero_transaction,b9a880a3-682d-4d4f-92be-b61ec80dce7b,Qantas,135,2025-11-17,,linked_in_xero,,,
dext_receipt,20247679250,The Bolt King,127.6,2026-04-16,2026-04-15T14:00:00+00:00,candidate,The Bolt King - 2026-04-16 - 87653.jpg,,
dext_receipt,20217133590,Maleny Hardware And Rural Supplies,224.1,2026-03-28,2026-03-27T14:00:00+00:00,candidate,Maleny Hardware And Rural Supplies - 2026-03-28 - 201900.pdf,,
