id,date,payee,particulars,amount,status,receipt_match_status,project_code
27a8809d-6f35-4038-b68f-db7c1a093cec,2025-10-01,DNPPHOTO.COM.AU PORT MELBOURN,DNPPHOTO.COM.AU PORT MELBOURN,693,reconciled,matched,ACT-IN
63e7ae73-eabf-41a9-886e-c7987b065d2f,2025-10-01,Linktree,LINKTREE COLLINGWOOD,8.2,unreconciled,no_receipt_needed,ACT-IN
6d068b91-2e74-47eb-afc9-e2207c90c4f6,2025-10-02,Mr Wong Sydney,Mr Wong Sydney,159.16,reconciled,no_receipt_needed,ACT-IN
69b0188d-4915-4331-9883-506b6740f639,2025-10-02,NAB International Fee,NAB INTNL TRAN FEE - (MC),2.61,reconciled,no_receipt_needed,ACT-IN
8e11966b-9e68-4bc4-a548-1ab6a8dc8da0,2025-10-03,BWC BRISBANE 133222 HAMILTON,BWC BRISBANE 133222 HAMILTON,88.19,reconciled,no_receipt_needed,ACT-IN
febe1d6d-678d-40cb-a891-6605647acf2d,2025-10-03,Claude.AI,CLAUDE.AI SUBSCRIPTION ANTHROPIC.COMCA,152.09,reconciled,no_receipt_needed,ACT-IN
7b66c13e-f04d-4973-81cf-c145e802de8b,2025-10-03,NAB International Fee,NAB INTNL TRAN FEE - (MC),5.32,reconciled,no_receipt_needed,ACT-IN
069d08bb-176f-445d-b9a8-ff1f0d0947e3,2025-10-06,Internet Transfer,INTERNET TRANSFER Linked Acc Trns,260,unreconciled,no_receipt_needed,ACT-IN
ed6985fe-2bf5-497e-b8d5-ba06d65c402a,2025-10-06,LinkedIn,LinkedInPreC *52161414 16506873555,74.99,unreconciled,no_receipt_needed,ACT-IN
8f706d7e-13c0-4abe-a532-b53f876ef38b,2025-10-06,NAB International Fee,NAB INTNL TRAN FEE - (MC),0.96,reconciled,no_receipt_needed,ACT-IN
ffeb6cb5-472e-413e-83e7-1135529e7418,2025-10-06,NAB International Fee,NAB INTNL TRAN FEE - (MC),1.76,reconciled,no_receipt_needed,ACT-IN
fc4eda48-0bb6-406f-bf3d-bd22fde9d613,2025-10-06,SP DRNKS MASLIN BEACH,SP DRNKS MASLIN BEACH,300,reconciled,matched,ACT-FM
d74d2903-7cc4-4b76-a774-c42acd110564,2025-10-06,SQ *GREMLIN GROUNDS Maleny,SQ *GREMLIN GROUNDS Maleny,6.86,unreconciled,no_receipt_needed,ACT-FM
5a87933f-8d44-413e-b4fa-ad14d37be468,2025-10-06,SQ *NEST IN WITTA Witta,SQ *NEST IN WITTA Witta,86.19,unreconciled,no_receipt_needed,ACT-FM
f44cc4d1-0c49-4969-a4e4-16560c2bc330,2025-10-06,UPTON GROUP AUSTRALIA BEERWAH,UPTON GROUP AUSTRALIA BEERWAH,447.84,reconciled,matched,ACT-FM
d76fdbe6-23b1-44b6-88a0-33d185468fce,2025-10-07,A W M ELECTRICAL WHO ALICE SPRINGS,A W M ELECTRICAL WHO ALICE SPRINGS,395.77,unreconciled,unmatched,ACT-GD
d6c43615-2411-45e1-b781-18b9e97c7679,2025-10-07,About Time Bathhouse Torquay,About Time Bathhouse Torquay,100,unreconciled,no_receipt_needed,ACT-IN
8d7f0727-362e-48e6-86cb-635da630fb11,2025-10-07,Audible,Audible Limited AU MELBOURNE,16.45,reconciled,no_receipt_needed,ACT-IN
418e5e34-2038-411b-8c33-a5afd40f593c,2025-10-07,NAB International Fee,NAB INTNL TRAN FEE - (SC),0.82,reconciled,no_receipt_needed,ACT-IN
