priority,quarter,date,amount,vendor,description,receipt_state,candidate_count,confidence,best_source,project_code,project_source,rd_eligible,xero_next_step,xero_search,bank_line_id
1,Q2,2025-11-24,27201.35,Hatch Electrical,HATCH ELECTRICAL ZILLMERE · NAB Visa ACT #8815,local_receipt_ready,3,100,dext_receipt,ACT-PI,auto,false,"Approve matching Xero Expenses draft or create spend-money, then reconcile.",Hatch Electrical 27201.35 2025-11-24,53b66090-b58c-4341-bacb-548ded375a6d
1,Q2,2025-11-12,20244.64,Hatch Electrical,HATCH ELECTRICAL ZILLMERE · NAB Visa ACT #8815,local_receipt_ready,3,100,dext_receipt,ACT-PI,auto,false,"Approve matching Xero Expenses draft or create spend-money, then reconcile.",Hatch Electrical 20244.64 2025-11-12,eca7283a-b029-4ac6-9e5c-675335e155e0
1,Q2,2025-12-24,19800.00,Telford Smith Engineering,TELFORD SMITH ENGINE DANDENONG SOU · NAB Visa ACT #8815,local_receipt_ready,5,100,dext_receipt,ACT-FM,vendor_override,false,"Approve matching Xero Expenses draft or create spend-money, then reconcile.",Telford Smith Engineering 19800.00 2025-12-24,41f4bc92-0b15-44f4-b8ef-bbb6ad454dfe
1,Q2,2025-12-09,5904.05,Container Options,CONTAINER OPTIONS STRATHFIELD S · NAB Visa ACT #8815,local_receipt_ready,3,100,dext_receipt,ACT-MY,auto,false,"Approve matching Xero Expenses draft or create spend-money, then reconcile.",Container Options 5904.05 2025-12-09,5b977486-20d8-465a-a3e0-d01287b556ad
1,Q3,2026-02-02,4715.00,Centre Canvas And Upholstery,KALLEGA INVESTMENTS PT ALICE SPRINGS · NAB Visa ACT #8815,local_receipt_ready,1,100,dext_receipt,ACT-GD,location,true,"Approve matching Xero Expenses draft or create spend-money, then reconcile.",Centre Canvas And Upholstery 4715.00 2026-02-02,07d0b8c2-6e9a-4a4b-8835-8f521011effc
1,Q3,2026-01-22,4705.00,Bionic Group,BIONIC STORAGE MERIDAN PLAIN · NAB Visa ACT #8815,local_receipt_ready,3,99,xero_bill,ACT-HV,vendor_override,false,"Approve matching Xero Expenses draft or create spend-money, then reconcile.",Bionic Group 4705.00 2026-01-22,fe1fb216-0e3f-4794-a2cf-2aac7784ba60
1,Q2,2025-12-01,4621.18,Airbnb,AIRBNB * HMFNBDYS2D SURRY HILLS · NAB Visa ACT #8815,local_receipt_ready,5,100,dext_receipt,ACT-HV,trip_rule,false,"Approve matching Xero Expenses draft or create spend-money, then reconcile.",Airbnb 4621.18 2025-12-01,3c9e5118-4ec4-42e5-a06b-92f491a3a729
1,Q3,2026-01-07,4575.65,Carbatec Brisbane,CARBA TEC PTY LTD TINGALPA · NAB Visa ACT #8815,local_receipt_ready,1,100,dext_receipt,ACT-HV,vendor_rule,false,"Approve matching Xero Expenses draft or create spend-money, then reconcile.",Carbatec Brisbane 4575.65 2026-01-07,c1214531-77c7-4e90-a725-6f4c1f2f71f9
1,Q2,2025-12-01,3745.00,Kennards Hire,KENNARDS HIRE HO QLD SEVEN HILLS · NAB Visa ACT #8815,local_receipt_ready,5,100,dext_receipt,ACT-MY,auto,false,"Approve matching Xero Expenses draft or create spend-money, then reconcile.",Kennards Hire 3745.00 2025-12-01,122276f5-043a-4b43-a1f4-d4323b28dd27
1,Q2,2025-12-12,3732.43,Hatch Electrical,HATCH ELECTRICAL ZILLMERE · NAB Visa ACT #8815,local_receipt_ready,3,100,dext_receipt,ACT-PI,auto,false,"Approve matching Xero Expenses draft or create spend-money, then reconcile.",Hatch Electrical 3732.43 2025-12-12,d1f0eb43-f964-41db-b41e-7e1e71306b83
1,Q2,2025-12-24,3598.09,Defy,DEFYDESIGN.ORG SYDNEY · NAB Visa ACT #8815,local_receipt_ready,5,100,dext_receipt,ACT-GD,rule:vendor:defy-design-2026-04-29,true,"Approve matching Xero Expenses draft or create spend-money, then reconcile.",Defy 3598.09 2025-12-24,f034a648-29b4-4781-beb0-82a392a1bb95
1,Q2,2025-12-22,3260.63,Defy,DEFYDESIGN.ORG SYDNEY · NAB Visa ACT #8815,local_receipt_ready,5,100,dext_receipt,ACT-GD,rule:vendor:defy-design-2026-04-29,true,"Approve matching Xero Expenses draft or create spend-money, then reconcile.",Defy 3260.63 2025-12-22,b51c78ee-9e37-427c-b9a5-8d20ae44919a
1,Q2,2025-12-04,2885.90,Bunnings Warehouse,BUNNINGS 416000 GARBUTT · NAB Visa ACT #8815,local_receipt_ready,5,100,dext_receipt,ACT-HV,auto,false,"Approve matching Xero Expenses draft or create spend-money, then reconcile.",Bunnings Warehouse 2885.90 2025-12-04,7f94dd3f-74d8-4a42-af29-caf3611e99f1
1,Q2,2025-11-20,2785.66,Defy Manufacturing,DEFYDESIGN.ORG SYDNEY · NAB Visa ACT #8815,local_receipt_ready,4,89,xero_bill,ACT-GD,rule:vendor:defy-design-2026-04-29,true,"Approve matching Xero Expenses draft or create spend-money, then reconcile.",Defy Manufacturing 2785.66 2025-11-20,1bebf0fe-402b-4853-8f85-33748162455a
1,Q3,2026-03-09,2413.17,Diggermate Franchising,DIGGERMATE CARRARA · NAB Visa ACT #8815,local_receipt_ready,3,95,xero_bill,ACT-HV,vendor_rule,false,"Approve matching Xero Expenses draft or create spend-money, then reconcile.",Diggermate Franchising 2413.17 2026-03-09,4619e993-a153-43cb-ac5e-49ec0f9c88f2
1,Q3,2026-02-26,2161.19,ADGE Hotel OPI Surry Hills,ADGE Hotel OPI Surry Hills · NAB Visa ACT #8815,local_receipt_ready,0,,,ACT-IN,vendor_rule,true,"Approve matching Xero Expenses draft or create spend-money, then reconcile.",ADGE Hotel OPI Surry Hills 2161.19 2026-02-26,247ea6e6-041f-4536-af6c-38b9e4104e82
1,Q3,2026-01-15,2034.00,RW Pacific Traders,RW PACIFIC TRADERS PTY DARRA · NAB Visa ACT #8815,local_receipt_ready,5,99,xero_bill,ACT-HV,vendor_rule,false,"Approve matching Xero Expenses draft or create spend-money, then reconcile.",RW Pacific Traders 2034.00 2026-01-15,4c6735ba-7bfa-40a7-a627-490aeded4c3d
