status,reason,bank_date,payee,bank_amount,document_vendor,document_date,amount_total,source,confidence,target_xero_transaction_id,target_contact_name,target_date,target_total,filename,link_id,receipt_document_id,bank_line_id
blocked,no Xero bank transaction ID yet,2025-10-01,Harvey Norman,4735,HARVEY NORMAN,2025-09-28,4735,dext_receipt,1,,,,,HARVEY-NORMAN-receipt.pdf,23d83658-05f7-45e0-a407-c03426cdab20,0d84588c-92da-41c8-b017-cbe1b6f3167e,be2343fd-c7c3-455e-b517-517edb963741
blocked,no Xero bank transaction ID yet,2025-10-01,B- SEA SWIFT PTY. LT PORTSMITH,2554.39,SEA SWIFT,2025-09-28,2554.39,dext_receipt,1,,,,,SEA-SWIFT-receipt.pdf,1a167c19-193e-4446-9f2c-e58ee9fa5547,f3411225-82fd-4c94-afc5-3942ab76963a,5a371035-fbf4-49c2-a2b1-dee0a624c709
blocked,no Xero bank transaction ID yet,2025-10-01,DNPPHOTO.COM.AU PORT MELBOURN,693,DNP Australia,2025-09-29,693,dext_receipt,1,,,,,DNP-Australia-receipt.pdf,b54cdabf-2701-41bf-87de-3ad72a554318,7ecaf24b-7b69-47b6-a3d0-8f02b42c49d3,27a8809d-6f35-4038-b68f-db7c1a093cec
blocked,no Xero bank transaction ID yet,2025-10-01,Qantas,518.9,Qantas,2025-09-28,518.9,dext_receipt,1,,,,,Qantas-receipt.pdf,bf665948-cd87-4e23-9e17-aae12fb98724,6d38fe9c-80b7-48c4-bdc1-66a232e47051,8d719b16-3c3a-4422-b9b3-7d8a415bb4c1
skipped,target has 1 attachment(s) in Xero,2025-10-01,Qantas,449.26,Qantas,2025-09-28,449.26,dext_receipt,1,696aa926-4c8a-4c09-8849-efc0e069860c,Qantas,2025-09-29,351.6,Qantas-receipt.pdf,8e5858ea-04af-42f8-83ac-44fd506045dc,89eb72bd-4618-4c59-a74c-03bbb2f10615,5d93d59a-cee8-401c-b6ce-71b61e4bce45
skipped,target has 1 attachment(s) in Xero,2025-10-01,Uber,71.25,Uber,2025-09-29,71.25,dext_receipt,1,570f54dd-268d-4cee-a051-48fd13475877,Uber,2025-10-01,71.25,receipt.pdf,a725a3b0-dbc8-461b-ae1c-8054793d926a,56bdb3df-8aa9-46c7-826e-44f4f6e1f5d2,1faed03a-c7b8-4d91-8796-343d3d6db01c
blocked,no Xero bank transaction ID yet,2025-10-01,SQ *FISHBOWL DARLINGHURSTHaymarket,64.2,Fishbowl Darlinghurst,2025-09-29,64.2,dext_receipt,1,,,,,Fishbowl-Darlinghurst-receipt.pdf,6bfd128e-8e2a-4fa3-8ffa-388d7320251a,3ce3db43-cd5d-44b0-84b4-af827537d84c,b138f681-9730-4645-8632-894afd7edde4
skipped,target has 1 attachment(s) in Xero,2025-10-01,Uber,57.88,Uber,2025-09-29,57.88,dext_receipt,1,668cddcf-2091-425e-895a-7d0d0e8296a5,Uber,2025-10-01,57.88,Uber-receipt.pdf,f53f8623-3c67-4b20-a83e-652a3c186177,8415cb04-36e7-4174-a3f5-6d0ffa087dca,59639dba-4222-4368-9718-917c61728423
skipped,target has 1 attachment(s) in Xero,2025-10-01,Uber,51.24,Uber,2025-09-28,51.24,dext_receipt,1,9ad31117-a406-4712-bbe6-e7037fe5de6f,Uber,2025-10-01,51.24,Uber-receipt.pdf,a3124570-3274-4312-832b-5370368f2e37,5c32c39e-6dc3-42f0-b5e1-a8b6724a6d1c,b7c8c617-b51e-4626-b6bf-cfddb3d979be
skipped,target has 1 attachment(s) in Xero,2025-10-01,Uber,35,Uber,2025-10-01,35,receipt_email,1,30c14b00-54bf-49d3-956d-5d8573b48e32,Uber,2025-10-01,35,A Curious Tractor  Your Wednesday evening trip wit-30c14b00.eml,3203c523-0494-4b04-bfb4-b12fa8063647,f84f4dec-4857-489e-b2f1-26bb4de8e045,e6680d27-fac4-4a47-b010-dda0e123e54b
