status,reason,bank_date,payee,bank_amount,document_vendor,document_date,amount_total,source,confidence,target_xero_transaction_id,target_contact_name,target_date,target_total,filename,link_id,receipt_document_id,bank_line_id
skipped,target has 1 attachment(s) in Xero,2025-10-01,Qantas,449.26,Qantas,2025-09-28,449.26,dext_receipt,1,696aa926-4c8a-4c09-8849-efc0e069860c,Qantas,2025-09-29,351.6,Qantas-receipt.pdf,8e5858ea-04af-42f8-83ac-44fd506045dc,89eb72bd-4618-4c59-a74c-03bbb2f10615,5d93d59a-cee8-401c-b6ce-71b61e4bce45
skipped,target has 1 attachment(s) in Xero,2025-10-01,Uber,71.25,Uber,2025-09-29,71.25,dext_receipt,1,570f54dd-268d-4cee-a051-48fd13475877,Uber,2025-10-01,71.25,receipt.pdf,a725a3b0-dbc8-461b-ae1c-8054793d926a,56bdb3df-8aa9-46c7-826e-44f4f6e1f5d2,1faed03a-c7b8-4d91-8796-343d3d6db01c
skipped,target has 1 attachment(s) in Xero,2025-10-01,Uber,57.88,Uber,2025-09-29,57.88,dext_receipt,1,668cddcf-2091-425e-895a-7d0d0e8296a5,Uber,2025-10-01,57.88,Uber-receipt.pdf,f53f8623-3c67-4b20-a83e-652a3c186177,8415cb04-36e7-4174-a3f5-6d0ffa087dca,59639dba-4222-4368-9718-917c61728423
skipped,target has 1 attachment(s) in Xero,2025-10-01,Uber,51.24,Uber,2025-09-28,51.24,dext_receipt,1,9ad31117-a406-4712-bbe6-e7037fe5de6f,Uber,2025-10-01,51.24,Uber-receipt.pdf,a3124570-3274-4312-832b-5370368f2e37,5c32c39e-6dc3-42f0-b5e1-a8b6724a6d1c,b7c8c617-b51e-4626-b6bf-cfddb3d979be
skipped,target has 1 attachment(s) in Xero,2025-10-01,Uber,35,Uber,2025-10-01,35,receipt_email,1,30c14b00-54bf-49d3-956d-5d8573b48e32,Uber,2025-10-01,35,A Curious Tractor  Your Wednesday evening trip wit-30c14b00.eml,3203c523-0494-4b04-bfb4-b12fa8063647,f84f4dec-4857-489e-b2f1-26bb4de8e045,e6680d27-fac4-4a47-b010-dda0e123e54b
skipped,target has 1 attachment(s) in Xero,2025-10-01,Uber,26.19,Uber,2025-09-29,26.19,dext_receipt,1,05aeed77-c326-4ffa-9b3f-9dd40f79c57c,Uber,2025-10-02,16.81,Uber-receipt.pdf,de05f1be-6f85-422a-bbf6-e1712cb35d1f,602743fb-e433-43ea-9809-9d15d69d3f81,e33b8fe6-1cd0-4c42-aa39-e40bc5575fcc
skipped,target has 2 attachment(s) in Xero,2025-10-01,Uber,25.99,Uber,2025-09-30,25.99,dext_receipt,1,bebb5830-d4c6-403a-9200-8e14d9a0f4b2,Uber,2025-10-01,26.19,receipt.pdf,1604b74e-a4e1-4894-9652-090c84bc7e68,80989ebd-9c25-45b2-add3-7cf3ffe45736,c609a281-386b-41b7-8de8-969e088ee9ef
skipped,target has 1 attachment(s) in Xero,2025-10-01,Uber,22.4,Uber,2025-10-01,22.4,receipt_email,1,82be006b-596c-4e4d-925b-633c2939912c,Uber,2025-10-01,22.4,A Curious Tractor  Your Thursday morning trip with-82be006b.eml,4d4ac2ca-3853-4fcb-aa38-e494db1e4371,33ab7fd5-6849-490a-9a76-f35f266e6407,fe575233-e798-43f8-9d66-62f2e6cb72f4
skipped,target has 1 attachment(s) in Xero,2025-10-02,Qantas,688.2,Qantas,2025-10-01,688.2,receipt_email,1,d2b39154-f7d4-4197-8ffa-65553e448620,Qantas,2025-10-02,688.2,Invoice.pdf,c6f5c995-dfaf-4f19-a3fa-aba6a6e15ae3,09ef0fe4-46e4-41ed-8d98-9378b846dc6b,52129543-1adb-436c-ba2e-470a4a37b8f2
skipped,target has 1 attachment(s) in Xero,2025-10-02,Uber,26.43,Uber,2025-09-25,24.11,dext_receipt,1,cb5ae980-efd0-4429-8bf0-ffa851b8bed1,Uber,2025-09-26,24.11,receipt.pdf,9cceaa2e-b5da-4c9e-aa8e-d56de2663e0e,03b27b13-03b2-4fb0-a369-34091645817f,9c79cede-b2ad-4b7b-a28a-60e58c576ff3
skipped,target has 1 attachment(s) in Xero,2025-10-02,Uber,23.06,Uber,2025-09-29,23.35,receipt_email,1,7b2ccdca-67d9-4426-9f84-5d8a6b9fed1e,Uber,2025-09-29,23.35,A Curious Tractor  Your Monday evening trip with U-7b2ccdca.eml,09181a0d-0f63-4fbb-950a-f7a3f62b0834,0ad18072-8a7e-4c72-a5c5-623e3dcd738d,26a87605-4df8-49db-a5f2-919c18ce9b2d
skipped,target has 1 attachment(s) in Xero,2025-10-02,Uber,21.64,Uber,2025-09-30,21.64,receipt_email,1,f5396785-7144-452b-a876-d208daef63c7,Uber,2025-10-02,21.64,A Curious Tractor  Your Tuesday morning trip with-f5396785.eml,eb04ff86-cf4c-415b-b4e6-53ab5bd2e337,10a35fb2-826b-433f-9799-c1fb0e6efd8c,d704e28a-16ec-4f85-a858-bc597cf85127
skipped,target has 1 attachment(s) in Xero,2025-10-02,Uber,16.81,Uber,2025-09-30,16.81,dext_receipt,1,b3217ce3-b63e-41b9-99b8-c4b204b562bc,Uber,2025-10-03,48.2,Uber-receipt.pdf,e956c4fc-2ad5-4b45-8926-8316625297d8,9d4bf246-ba1f-4e98-97a3-889fbf5918ee,62916579-6d98-46c1-9e16-aee1dbd29934
skipped,target has 1 attachment(s) in Xero,2025-10-03,Uber,48.2,Uber,2025-10-01,48.2,dext_receipt,1,b3217ce3-b63e-41b9-99b8-c4b204b562bc,Uber,2025-10-03,48.2,Uber-receipt.pdf,088d0415-e0ee-491e-a80c-624d749897fb,f447b124-2259-4793-a321-f8196ad783b1,f407f19a-a3d5-4f4e-9b91-10debec46b08
skipped,target has 1 attachment(s) in Xero,2025-10-03,Uber,42.29,Uber,2025-10-03,42.29,receipt_email,1,61db2bc7-6c4b-4a83-943d-3bf525a4c5d6,Uber,2025-10-03,42.29,Make your work trip a breeze-61db2bc7.eml,a266f407-9a10-46f0-a5ab-336bf8f53cce,6a146ac2-c916-4a3a-9f5b-9a7885919c3d,d96280f6-eb36-404b-a797-444fd8c9c1f8
skipped,target has 1 attachment(s) in Xero,2025-10-03,Uber,36.28,Uber,2025-10-02,36.28,receipt_email,1,6b885421-0f61-4863-ba3f-71af782b6e7b,Uber,2025-10-03,36.28,Early business trip-6b885421.eml,356ef67f-1c55-44a9-8f25-ab8f2fbf1f2a,b7d9f9e5-7217-4fa1-8767-98b53c3d31d2,70796f67-858c-4db1-9a96-1baccb83111c
skipped,target has 1 attachment(s) in Xero,2025-10-03,Uber,14.32,Uber,2025-09-30,14.32,receipt_email,1,4450b7d8-bfd9-4aef-ae2c-7b0eb33f2803,Uber,2025-10-03,14.32,A Curious Tractor  Your Tuesday morning trip with-4450b7d8.eml,5594f019-aea8-4745-973d-00de7c1d5c08,e7a2b136-abdf-47d3-b5ad-3dd111bfee8c,a212c9b4-70e6-4cca-9bad-a8bd3da2e60b
skipped,target has 1 attachment(s) in Xero,2025-10-07,Uber,35.99,Uber,2025-10-07,35.99,receipt_email,1,d69127e3-b5ca-47ea-beee-2fee2de8c6e0,Uber,2025-10-07,35.99,Ready Reserve-d69127e3.eml,522632b9-9745-4394-9300-5aa6b0c93182,2444fb00-056d-4ccf-8d83-6489d12595ca,c09834b7-dd61-4e74-baaa-d05a4e64293f
skipped,target has 1 attachment(s) in Xero,2025-10-07,Uber,25,Uber,2025-10-09,25,receipt_email,1,27968c7e-0042-4cfd-8d18-bb3414d4dc04,Uber,2025-10-07,25,Benjamin enjoy easy traveling-27968c7e.eml,980af6d1-e4ec-42a6-aaf7-e1a83e876d5c,b5b1d108-54cc-46eb-b4a4-8be4d53e5de1,c61be0cf-40f0-48b6-bca7-005c987c2bdb
