quarter,id,date,payee,particulars,amount,xero_status,evidence_status,candidate_count,best_vendor,best_source,best_confidence,xero_action,link_id,document_id
Q3,e49cbf49-7fd6-41d5-8f77-bd4d9ed0a2fc,2026-02-23,PAYPAL *IMPRWV6N 4029357733,PAYPAL *IMPRWV6N 4029357733,3833.09,unreconciled,candidate,3,PayPal,dext_receipt,0.77,attach_file,56250615-c0b7-4fa6-bba5-c9cff141ce62,5474805b-9877-4cae-ba2e-51ab44f780dc
Q2,fca27676-3c24-47a2-94a8-6a9d75536a1e,2025-12-11,The Sand Yard,THE SAND YARD PTY LTD LONDONDERRY,913.5,unreconciled,candidate,3,The Sand Yard,dext_receipt,0.6425,attach_file,c27a86c6-0df0-411b-b3e1-6a091123e3b2,27effac4-6d68-4860-a569-31c8de77ba69
Q3,236365d0-0b6c-4517-85a3-10348083f19c,2026-02-23,Bunnings,BUNNINGS 490000 MAROOCHYDORE,599,unreconciled,candidate,3,Bunnings Warehouse,dext_receipt,0.74,attach_file,181027ec-1e23-41d2-abb5-61de7594fec4,23bca483-4ccf-448c-967a-61cfd0b7f30f
Q2,7fc23639-e923-4de2-98f1-f98447db5174,2025-10-22,Virgin Australia,VIRGIN AUSTRALIA BRISBANE,385.79,unreconciled,candidate,3,Virgin Australia,xero_bill,0.6275,find_match,36a18a57-5772-4c72-a793-e76492f3174f,0b82a672-cb10-42bf-9d88-c002bcb026d3
Q2,24fab769-166d-4cee-9533-dd65f80d9387,2025-11-11,Airbnb,AIRBNB * HMTA5FKNNW SURRY HILLS,383,unreconciled,candidate,3,Airbnb,dext_receipt,0.74,attach_file,a547c8a9-82bd-444f-b21f-383156a35bf2,c41ba87a-ba8c-4450-a89b-1fbe703f5435
Q2,85780443-4db4-45db-88c5-3d396d8cfd35,2025-10-07,AGL,AGL SALES PTY LTD SYDNEY,275.44,unreconciled,candidate,3,AGL,dext_receipt,0.6275,attach_file,54818247-46f7-4ae1-90d1-7657b5a9415d,5e92db11-f2a1-497b-b3d0-00dc2a740b70
Q2,f0bc3cfd-b07a-4044-a39e-270a4256a801,2025-12-22,Booking.com,Hotel at Booking.com Amsterdam,220,unreconciled,candidate,3,Booking.com,dext_receipt,0.74,attach_file,3b956b6a-3826-4187-99bf-cb0f27adf41e,5eaabfa5-c32d-4a1a-bcd7-4880ceec03d1
Q3,fb5c5a4d-94ba-49a0-83b8-e2dccfbbf197,2026-02-19,Liberty,LIBERTY MALENY Maleny,216.07,unreconciled,candidate,5,Bussell Rural Co Pty Ltd T/AS Maleny Hardware & Rural,dext_receipt,0.824,attach_file,fada74a8-7d53-4211-8616-bfa267749b1c,93abe66d-0c0a-436c-a9cf-2d74f8ae15de
Q2,b6b973b1-892a-4acd-ac0d-458f880700a7,2025-12-17,Iris Todd Operations,IRIS TODD OPERATIONS P ALICE SPRINGS,197.47,unreconciled,high_confidence_candidate,3,Todd Tavern,dext_receipt,0.95,attach_file,70fb7b8f-434f-42a4-9299-c1dbceb64702,d6d3cdf2-db2f-4993-9d1f-f8b78a39bfb9
Q3,d21ec39d-f4f2-4366-84f9-a08df47b5a65,2026-03-30,MOL 18200 sz. toltoall Vecses,MOL 18200 sz. toltoall Vecses,133.68,unreconciled,candidate,3,Mol Nyrt Altal Kepviselt Afacsoport,xero_me,0.6425,attach_file,0809fdd8-f04c-4524-adc0-d1b67e76ca87,abaf0ead-63e9-4a7c-9d90-84cd086033c0
Q3,9c8a1c41-5ce4-4a48-b447-659e44c87451,2026-02-13,SEASONS SUPERMARKET 10 MALENY,SEASONS SUPERMARKET 10 MALENY,119.89,unreconciled,high_confidence_candidate,5,Liberty Maleny,dext_receipt,0.9,attach_file,03c38895-2352-40de-93ae-a813b263f8cd,0b468f95-fbd5-446e-acc2-0b327b91a949
Q3,646126da-5f08-429d-a170-507a3fb5a64d,2026-01-12,SQ *POCKY ASIAN RESTAURANMaleny,SQ *POCKY ASIAN RESTAURANMaleny,119.06,unreconciled,candidate,3,Light Years Asian Diner,dext_receipt,0.6125,attach_file,39b98b6c-4792-4fc2-a60a-16e8ba526140,8e55ae4a-9754-4a72-926c-6a2ce9099a47
Q3,bc1ba9c9-517e-4430-8b25-f8a6925fadb1,2026-03-09,Woolworths,WOOLWORTHS/2 BUNYA ST MALENY,116.82,unreconciled,candidate,5,MALENY HARDWARE & RU,dext_receipt,0.77,attach_file,d5895c74-2b08-4ec1-93c4-76dceedf5fae,a4c83134-7d39-4985-b258-bebfbc52a224
Q3,21266b7f-3879-46e9-9340-fc31284fab30,2026-03-12,Woolworths,WOOLWORTHS/2 BUNYA ST MALENY,101.55,unreconciled,high_confidence_candidate,5,MALENY HARDWARE & RU,dext_receipt,0.92,attach_file,6e547db8-2de8-4460-833e-5a09a0e5e2c4,a4c83134-7d39-4985-b258-bebfbc52a224
Q3,9dc85a33-22f4-4fd1-b2b7-26ea62e59055,2026-01-23,LANDINGFOLIO SINGAPORE,LANDINGFOLIO SINGAPORE,90.84,unreconciled,candidate,5,Supabase,dext_receipt,0.7775,attach_file,91202617-8dbf-4b00-a1f5-cd936a321b0b,b0127c6f-9020-4ede-9d91-2388485df7ea
