quarter,id,date,payee,particulars,amount,xero_status,evidence_status
Q2,7fcdbba9-27d5-495f-86aa-4113582ef12c,2025-11-18,Carla Furnishers,CARLA FURNISHERS P/L CICCONE,5590,unreconciled,uncovered
Q3,d137c41d-ee33-4f87-9321-ed40397bd299,2026-03-02,QATAR AIR 0002134251468DOHA,QATAR AIR 0002134251468DOHA,5067.99,unreconciled,uncovered
Q3,71adc7a0-a820-4e39-a4c5-2c456c8170c9,2026-01-29,Carla Furnishers,CARLA FURNISHERS P/L CICCONE,4816,unreconciled,uncovered
Q3,06c6377f-bb11-4658-ba29-4d786d7e265a,2026-03-02,SP RETRO OUTDOOR CO BAULKHAM HILL,SP RETRO OUTDOOR CO BAULKHAM HILL,4497,unreconciled,uncovered
Q3,1765e514-d754-4548-a88f-934f63b65f65,2026-02-27,MYO*THE TRUSTEE FOR TH BRENDALE,MYO*THE TRUSTEE FOR TH BRENDALE,3212.04,unreconciled,uncovered
Q2,2b6fd6a0-7e10-40d4-9784-5f6a7601db1e,2025-12-10,Kennards Hire,KENNARDS HIRE HO QLD SEVEN HILLS,2871,unreconciled,uncovered
Q2,5711fc4e-33b7-4a75-a4cb-fb321fad61e0,2025-12-01,JB Hi-Fi,JB HI FI KEDRON HOME KEDRON,1491.9,unreconciled,uncovered
Q2,0236c8da-bc7b-4a18-8e00-c8385f1ea0bb,2025-11-10,BRALINDA INVESTMENTS P ALICE SPRINGS,BRALINDA INVESTMENTS P ALICE SPRINGS,1213.2,unreconciled,uncovered
Q2,f0696b64-5c50-4672-9269-98a3d5a04e80,2025-10-20,Avis,AVIS AUSTRALIA MASCOT,1032.9,unreconciled,uncovered
Q2,91d3f2e0-c567-42e5-b02b-c19f66dd1a58,2025-11-11,ALICE SPRINGS CASINO O ALICE SPRINGS,ALICE SPRINGS CASINO O ALICE SPRINGS,1012.56,unreconciled,uncovered
Q2,1a376120-6f5a-499d-a7cd-581ef7ecaa9b,2025-12-01,Bargain Car Rentals,BARGAINCARRENTALS HOBART,998.94,unreconciled,uncovered
Q2,b81128a2-4e2e-4748-8b05-bcc46affe79e,2025-12-01,Bargain Car Rentals,BARGAINCARRENTALS HOBART,809.29,unreconciled,uncovered
Q2,07624ff2-7a68-4f51-bc86-2a7aa80d88a5,2025-10-20,Virgin Australia,VIRGIN AUSTRALIA BRISBANE,759.45,unreconciled,uncovered
Q3,5f4cc933-94ff-4853-bc4e-7c9255135425,2026-01-16,DNA STEEL DIRECT ALICE SPRINGS,DNA STEEL DIRECT ALICE SPRINGS,739.54,unreconciled,uncovered
Q2,4423b436-cd2b-4a12-a00a-e4cbdb356a07,2025-12-01,P & J Mabasa,P & J MABASA PL ALICE SPRINGS,674,unreconciled,uncovered
Q3,096d804c-45ea-4cbb-8e92-f60a41dc6d3e,2026-02-06,STEELMART CALOUNDRA CALOUNDRAQLD,STEELMART CALOUNDRA CALOUNDRAQLD,538.12,unreconciled,uncovered
Q3,7c9c296d-ee9e-4882-b9e0-5294304c406a,2026-03-26,STRELEC LJUBLJANA,STRELEC LJUBLJANA,500.1,unreconciled,uncovered
Q3,ea0209ba-041e-4bd5-be59-a55d0a9b1fd6,2026-03-31,Hinterland Aviation Cairns,Hinterland Aviation Cairns,426.36,unreconciled,uncovered
Q2,d76fdbe6-23b1-44b6-88a0-33d185468fce,2025-10-07,A W M ELECTRICAL WHO ALICE SPRINGS,A W M ELECTRICAL WHO ALICE SPRINGS,395.77,unreconciled,uncovered
Q3,ce5bbd0c-8be4-4364-8061-692bd013366a,2026-02-25,BIG W/OLD HUME HWY & ROSCMITTAGONG,BIG W/OLD HUME HWY & ROSCMITTAGONG,388.2,unreconciled,uncovered
Q2,a02f9ced-9407-4285-a255-eb82d2f66591,2025-10-14,BEARPEP PTY LTD LARRAKEYAH,BEARPEP PTY LTD LARRAKEYAH,323.3,unreconciled,uncovered
Q2,7b78bbed-d217-4416-b4d8-bd749894806a,2025-12-15,Alice Springs Casino,ALICE SPRINGS CASINO O ALICE SPRINGS,298.92,unreconciled,uncovered
Q3,f59f7548-7100-4f35-9e73-04495736b3bd,2026-02-02,VTC-ONLINE YULARA,VTC-ONLINE YULARA,287.57,unreconciled,uncovered
Q2,2bc56b17-e900-4548-b8c2-fcf8be0aa531,2025-10-15,NOVOTEL SYDNEY WEST HQ ROOTY HILL,NOVOTEL SYDNEY WEST HQ ROOTY HILL,239,unreconciled,uncovered
Q3,2d9a402c-8182-49ff-be00-8f68b2e5abd0,2026-03-02,AMPOL WYONG DIESEL NO WYONG,AMPOL WYONG DIESEL NO WYONG,232.55,unreconciled,uncovered
Q3,4ae8725b-4338-4081-bcaa-ddea724a2705,2026-02-09,ORSO GASTRONOMIA PTY L ROSE PARK,ORSO GASTRONOMIA PTY L ROSE PARK,213,unreconciled,uncovered
Q3,29f14cb8-aec9-4be9-a17d-8bbd62c21fea,2026-03-03,BP NAMBUCCA TRVL CTR 7795VALLA,BP NAMBUCCA TRVL CTR 7795VALLA,212.21,unreconciled,uncovered
Q3,0fdbc1e6-dc58-4a35-bc03-dd3208aaf275,2026-01-19,SQ *POCKY ASIAN RESTAURANMaleny,SQ *POCKY ASIAN RESTAURANMaleny,206.44,unreconciled,uncovered
