company_name,email,state,country,type,community,suggested_tags,source,original_contact_id,notes
"Aboriginal Medical Services Alliance NT (AMSANT)",,NT,Australia,Health Service (peak body),,project:act-gd;role:community-controlled;role:partner;role:health-service,community-controlled-org-migration-2026-06-09,MxDCQuWzhl1l9L0fujj6,
"Ampilatwatja Health Centre Aboriginal Corporation",ampilatwatja-health-centre-aboriginal-corporation-ampilatwatja@goods.civicgraph.io,NT,Australia,Health Service,ampilatwatja,project:act-gd;role:community-controlled;role:partner;role:health-service,community-controlled-org-migration-2026-06-09,YSgKCLjrz8mOzXianscn;Q6JZYRh0i6sJxbaDk5WA,COLLAPSED DUP — two contact records merged into one company
"Amundurrngu Mt Liebig Community Store (Aboriginal Corporation)",amundurrngu-mt-liebig-community-store-aboriginal-corporation-mou@goods.civicgraph.io,NT,Australia,Community Store,mount-liebig,project:act-gd;role:community-controlled;role:partner;role:buyer;role:supplier,community-controlled-org-migration-2026-06-09,5SUZbGyG14Q4fSLtGfmK,POSSIBLE DUP of "Mt Liebig Community Store" below — verify before/after import
"Anindilyakwa Housing Aboriginal Corporation",,NT,Australia,Housing Provider,,project:act-gd;role:community-controlled;role:partner;role:housing-provider,community-controlled-org-migration-2026-06-09,rehcTEdarUUNx91r06ap,
"Anindilyakwa Land Council",,NT,Australia,Land Council,,project:act-gd;role:community-controlled;role:partner;role:land-council,community-controlled-org-migration-2026-06-09,sq8AeMqnXJFhReHCxggr,
"Aputula Housing Aboriginal Corporation",aputula-housing-aboriginal-corporation-finke@goods.civicgraph.io,NT,Australia,Housing Provider,finke,project:act-gd;role:community-controlled;role:partner;role:housing-provider,community-controlled-org-migration-2026-06-09,SczQgdmEOSHYnVcs1LII,
"Areyonga Store Aboriginal Corporation",areyonga-store-aboriginal-corporation-areyonga@goods.civicgraph.io,NT,Australia,Community Store,areyonga,project:act-gd;role:community-controlled;role:partner;role:buyer;role:supplier,community-controlled-org-migration-2026-06-09,dd5rHFESa8DCi5uSJyr6,
"Atitjere Homelands Store Aboriginal Corporation",atitjere-homelands-store-aboriginal-corporation-atitjere@goods.civicgraph.io,NT,Australia,Community Store,atitjere,project:act-gd;role:community-controlled;role:partner;role:buyer;role:supplier,community-controlled-org-migration-2026-06-09,vQYVHLQZlKDZB5b5Yitk,
"Barunga Community Store Aboriginal Corporation",barunga-community-store-aboriginal-corporation-barunga@goods.civicgraph.io,NT,Australia,Community Store,barunga,project:act-gd;role:community-controlled;role:partner;role:buyer;role:supplier,community-controlled-org-migration-2026-06-09,NDkOyddNl1Pajj1Fr4RO,
"Canteen Creek Store Charitable Trust",,NT,Australia,Community Store,,project:act-gd;role:community-controlled;role:partner;role:buyer;role:supplier,community-controlled-org-migration-2026-06-09,BGyanKf035L4KIIshJnF,
"Central Australian Aboriginal Congress",,NT,Australia,Health Service,,project:act-gd;role:community-controlled;role:partner;role:health-service,community-controlled-org-migration-2026-06-09,bjixgh1blualVbNIKrPG,
"Central Land Council",,NT,Australia,Land Council,,project:act-gd;role:community-controlled;role:partner;role:land-council,community-controlled-org-migration-2026-06-09,T11kOpYh703ud8IUkgOZ,
"Daguragu Community Store Aboriginal Corporation",daguragu-community-store-aboriginal-corporation-daguragu@goods.civicgraph.io,NT,Australia,Community Store,daguragu,project:act-gd;role:community-controlled;role:partner;role:buyer;role:supplier,community-controlled-org-migration-2026-06-09,ev3DobfSdh8uqoW4NjMP,
"Imanpa General Store Anangu Aboriginal Corporation",imanpa-general-store-anangu-aboriginal-corporation-imanpa@goods.civicgraph.io,NT,Australia,Community Store,imanpa,project:act-gd;role:community-controlled;role:partner;role:buyer;role:supplier,community-controlled-org-migration-2026-06-09,cwjSZmZrwbpeoTi98qag,
"Kaltukatjara Community Council (Aboriginal Corporation)",kaltukatjara-community-council-aboriginal-corporation-kaltukatja@goods.civicgraph.io,NT,Australia,Council,kaltukatjara,project:act-gd;role:community-controlled;role:partner;role:council,community-controlled-org-migration-2026-06-09,wrRHeRChqJEXAcOp5HAw,POSSIBLE DUP of "Kaltukatjara Nguratjaku Council" below — verify
"Kaltukatjara Nguratjaku Council (Aboriginal Corporation)",kaltukatjara-nguratjaku-council-aboriginal-corporation-kaltukatj@goods.civicgraph.io,NT,Australia,Council,kaltukatjara,project:act-gd;role:community-controlled;role:partner;role:council,community-controlled-org-migration-2026-06-09,9DIjNWgD0WXnUhB2DAUm,POSSIBLE DUP of "Kaltukatjara Community Council" above — verify
"Katherine West Health Board Aboriginal Corporation",,NT,Australia,Health Service,,project:act-gd;role:community-controlled;role:partner;role:health-service,community-controlled-org-migration-2026-06-09,yduVJ4zdFaVn7fKMbPxf,
"Lajamanu Progress Aboriginal Corporation",lajamanu-progress-aboriginal-corporation-lajamanu@goods.civicgraph.io,NT,Australia,Community Store,lajamanu,project:act-gd;role:community-controlled;role:partner;role:buyer;role:supplier,community-controlled-org-migration-2026-06-09,TWi4OBECVJbse2HLtYQt,
"Laramba Community Store Aboriginal Corporation",laramba-community-store-aboriginal-corporation-laramba@goods.civicgraph.io,NT,Australia,Community Store,laramba,project:act-gd;role:community-controlled;role:partner;role:buyer;role:supplier,community-controlled-org-migration-2026-06-09,M1nD1Eg2vQzS5bS7LwtR,
"Laynhapuy Homelands Aboriginal Corporation",,NT,Australia,Aboriginal Corporation (homelands),,project:act-gd;role:community-controlled;role:partner,community-controlled-org-migration-2026-06-09,jyq6kpllvY6A9h9Vnx9s,
